country,item,element,domain,year,unit,value,flag_description,note
Cameroon,"Ginger, raw",Production,QCL_production,2007,t,11960.0,Official value,
Cameroon,"Ginger, raw",Yield,QCL_production,2007,kg/ha,6998.2,Official value,
Cameroon,"Ginger, raw",Export quantity,TCL_trade,2007,t,13,Official value,
Cameroon,"Ginger, raw",Export value,TCL_trade,2007,1000 USD,5,Official value,
Cameroon,"Ginger, raw",Import quantity,TCL_trade,2007,t,0,Estimated value,
Cameroon,"Ginger, raw",Import value,TCL_trade,2007,1000 USD,0,Estimated value,
Cameroon,"Ginger, raw",Production,QCL_production,2008,t,12584.0,Official value,
Cameroon,"Ginger, raw",Yield,QCL_production,2008,kg/ha,6998.9,Official value,
Cameroon,"Ginger, raw",Export quantity,TCL_trade,2008,t,65,Official value,
Cameroon,"Ginger, raw",Export value,TCL_trade,2008,1000 USD,43,Official value,
Cameroon,"Ginger, raw",Import quantity,TCL_trade,2008,t,0,Official value,
Cameroon,"Ginger, raw",Import value,TCL_trade,2008,1000 USD,1,Official value,
Cameroon,"Ginger, raw",Production,QCL_production,2009,t,33086.0,Official value,
Cameroon,"Ginger, raw",Yield,QCL_production,2009,kg/ha,7504.2,Official value,
Cameroon,"Ginger, raw",Export quantity,TCL_trade,2009,t,49,Official value,
Cameroon,"Ginger, raw",Export value,TCL_trade,2009,1000 USD,19,Official value,
Cameroon,"Ginger, raw",Import quantity,TCL_trade,2009,t,0,Estimated value,
Cameroon,"Ginger, raw",Import value,TCL_trade,2009,1000 USD,1,Estimated value,
Cameroon,"Ginger, raw",Production,QCL_production,2010,t,39342.0,Official value,
Cameroon,"Ginger, raw",Yield,QCL_production,2010,kg/ha,8499.0,Official value,
Cameroon,"Ginger, raw",Export quantity,TCL_trade,2010,t,69,Official value,
Cameroon,"Ginger, raw",Export value,TCL_trade,2010,1000 USD,25,Official value,
Cameroon,"Ginger, raw",Import quantity,TCL_trade,2010,t,0,Official value,
Cameroon,"Ginger, raw",Import value,TCL_trade,2010,1000 USD,1,Official value,
Cameroon,"Ginger, raw",Production,QCL_production,2011,t,40531.0,Official value,
Cameroon,"Ginger, raw",Yield,QCL_production,2011,kg/ha,6320.1,Official value,
Cameroon,"Ginger, raw",Export quantity,TCL_trade,2011,t,36,Official value,
Cameroon,"Ginger, raw",Export value,TCL_trade,2011,1000 USD,17,Official value,
Cameroon,"Ginger, raw",Import quantity,TCL_trade,2011,t,0,Official value,
Cameroon,"Ginger, raw",Import value,TCL_trade,2011,1000 USD,1,Official value,
Cameroon,"Ginger, raw",Production,QCL_production,2012,t,44990.0,Official value,
Cameroon,"Ginger, raw",Yield,QCL_production,2012,kg/ha,7925.0,Official value,
Cameroon,"Ginger, raw",Export quantity,TCL_trade,2012,t,7,Official value,
Cameroon,"Ginger, raw",Export value,TCL_trade,2012,1000 USD,3,Official value,
Cameroon,"Ginger, raw",Import quantity,TCL_trade,2012,t,1,Official value,
Cameroon,"Ginger, raw",Import value,TCL_trade,2012,1000 USD,0,Official value,
Cameroon,"Ginger, raw",Production,QCL_production,2013,t,48960.0,Official value,
Cameroon,"Ginger, raw",Yield,QCL_production,2013,kg/ha,8000.0,Official value,
Cameroon,"Ginger, raw",Export quantity,TCL_trade,2013,t,38,Value from external organization,Estimated data using trading partners database
Cameroon,"Ginger, raw",Export value,TCL_trade,2013,1000 USD,99,Value from external organization,Estimated data using trading partners database
Cameroon,"Ginger, raw",Import quantity,TCL_trade,2013,t,1,Estimated value,
Cameroon,"Ginger, raw",Import value,TCL_trade,2013,1000 USD,0,Estimated value,
Cameroon,"Ginger, raw",Production,QCL_production,2014,t,51039.0,Official value,
Cameroon,"Ginger, raw",Yield,QCL_production,2014,kg/ha,9222.8,Official value,
