product,year,Export quantity (t),Export value (1000 USD),Food supply (kcal/capita/day) (kcal/cap/d),Food supply quantity (kg/capita/yr) (kg/cap),Import quantity (t),Import value (1000 USD),Production (t),Stock Variation (t),Yield (kg/ha),avg_price_XAF_per_kg_or_L
onions,2010,,,3.46,3.23,inf,,inf,,,
onions,2011,,,5.7,5.32,inf,,inf,,,
onions,2012,,,9.6,8.96,inf,,inf,,,
onions,2013,,,9.82,9.17,inf,,inf,,,
onions,2014,,,13.48,12.59,inf,,inf,,,
onions,2015,,,13.09,12.22,inf,,inf,,,
onions,2016,,,12.84,11.99,inf,,inf,,,
onions,2017,,,12.62,11.78,inf,,inf,,,
onions,2018,,,12.48,11.65,inf,,inf,,,
onions,2019,,,11.78,11.0,inf,,inf,,,
onions,2020,,,12.62,11.78,inf,,inf,,,
onions,2021,,,12.8,11.94,inf,,inf,,,
onions,2022,,,13.55,12.65,inf,,inf,,,
onions,2023,,,12.43,11.6,inf,,inf,,,
onions,2024,0.15,0.0,,,0.18,1.0,,,,
