product,year,Export quantity (t),Export value (1000 USD),Food supply (kcal/capita/day) (kcal/cap/d),Food supply quantity (kg/capita/yr) (kg/cap),Import quantity (t),Import value (1000 USD),Production (t),Stock Variation (t),Yield (kg/ha),avg_price_XAF_per_kg_or_L
plantain,2007,0.0,0.0,,,,,2338036.0,,12061.9,134.770625
plantain,2008,0.0,0.0,,,,,2500639.0,,12000.0,147.78083333333333
plantain,2009,0.0,0.0,,,,,2758953.0,,11967.1,152.10104166666667
plantain,2010,0.0,0.0,98.64,48.43,,,inf,,12225.0,167.22625
plantain,2011,0.0,0.0,95.17,46.73,,,inf,,11085.7,177.93708333333333
plantain,2012,0.0,0.0,103.46,50.8,,,inf,,10852.6,186.16875
plantain,2013,30.0,40.0,104.37,51.24,,,inf,,11944.4,191.4645833333333
plantain,2014,30.0,40.0,119.19,58.52,0.0,2.0,inf,,14822.3,186.8
plantain,2015,30.0,40.0,118.47,58.17,0.0,3.0,inf,,14906.3,207.4489583333333
plantain,2016,17.5,4.0,122.1,59.95,,,inf,,9406.8,259.22270833333334
plantain,2017,29.1,6.0,109.63,53.83,,,inf,,9212.0,264.23125
plantain,2018,571.51,124.0,105.14,51.62,,,inf,,9226.9,235.2358333333333
plantain,2019,814.62,249.0,121.79,59.8,,,inf,,9614.4,238.7960416666667
plantain,2020,2890.61,542.0,117.66,57.77,0.0,0.0,inf,,8872.3,253.22541666666663
plantain,2021,2668.81,482.0,117.51,57.69,,,inf,,8864.6,280.37916666666666
plantain,2022,5865.61,810.0,115.03,56.48,0.0,,inf,,9255.2,292.5770833333333
plantain,2023,3499.56,457.0,111.58,54.78,,,inf,,8809.5,341.2445833333333
plantain,2024,1092.0,926.0,,,,,4663349.64,,8645.8,357.7989583333333
plantain,2025,,,,,,,,,,490.4116666666666
plantain,2026,,,,,,,,,,473.155625
