date,value
2007-01-01,1102.2
2007-02-01,1087.65
2007-03-01,1089.54
2007-04-01,1093.88
2007-05-01,1080.93
2007-06-01,1093.9
2007-07-01,1121.72
2007-08-01,1116.78
2007-09-01,1150.62
2007-10-01,1147.12
2007-11-01,1162.17
2007-12-01,1140.15
2008-01-01,1176.1
2008-02-01,1206.15
2008-03-01,1210.76
2008-04-01,1207.06
2008-05-01,1265.81
2008-06-01,1353.5
2008-07-01,1408.66
2008-08-01,1442.38
2008-09-01,1430.31
2008-10-01,1351.74
2008-11-01,1346.99
2008-12-01,1350.88
2009-01-01,1311.89
2009-02-01,1310.33
2009-03-01,1292.86
2009-04-01,1269.55
2009-05-01,1291.03
2009-06-01,1314.48
2009-07-01,1290.38
2009-08-01,1250.45
2009-09-01,1229.59
2009-10-01,1249.55
2009-11-01,1278.5
2009-12-01,1352.81
2010-01-01,1347.99
2010-02-01,1262.6
2010-03-01,1238.41
2010-04-01,1230.74
2010-05-01,1231.37
2010-06-01,1242.67
2010-07-01,1291.7
2010-08-01,1199.85
2010-09-01,1359.08
2010-10-01,1491.98
2010-11-01,1475.37
2010-12-01,1434.2
2011-01-01,1347.78
2011-02-01,1314.31
2011-03-01,1366.23
2011-04-01,1399.57
2011-05-01,1378.21
2011-06-01,1248.93
2011-07-01,1257.55
2011-08-01,1286.34
2011-09-01,1335.8
2011-10-01,1411.12
2011-11-01,1353.01
2011-12-01,1332.11
2012-01-01,1256.97
2012-02-01,1210.7
2012-03-01,1247.32
2012-04-01,1214.48
2012-05-01,1242.71
2012-06-01,1218.08
2012-07-01,1257.76
2012-08-01,1246.88
2012-09-01,1371.25
2012-10-01,1387.2
2012-11-01,1317.7
2012-12-01,1305.84
2013-01-01,1304.26
2013-02-01,1318.39
2013-03-01,1337.35
2013-04-01,1327.17
2013-05-01,1300.73
2013-06-01,1321.89
2013-07-01,1304.9
2013-08-01,1363.62
2013-09-01,1425.98
2013-10-01,1466.57
2013-11-01,1439.81
2013-12-01,1462.38
2014-01-01,1412.95
2014-02-01,1441.47
2014-03-01,1400.2
2014-04-01,1331.05
2014-05-01,1273.21
2014-06-01,1235.85
2014-07-01,1280.81
2014-08-01,1326.15
2014-09-01,1277.91
2014-10-01,1326.11
2014-11-01,1360.26
2014-12-01,1338.91
2015-01-01,1212.05
2015-02-01,1130.87
2015-03-01,1184.8
2015-04-01,1191.34
2015-05-01,1248.42
2015-06-01,1233.33
2015-07-01,1200.0
2015-08-01,1233.33
2015-09-01,1366.67
2015-10-01,1366.67
2015-11-01,1400.0
2015-12-01,1395.37
2016-01-01,1316.6
2016-02-01,1262.96
2016-03-01,1233.33
2016-04-01,1337.15
2016-05-01,1366.67
2016-06-01,1433.33
2016-07-01,1500.0
2016-08-01,1533.33
2016-09-01,1533.33
2016-10-01,1433.33
2016-11-01,1433.33
2016-12-01,1355.56
2017-01-01,1252.38
2017-02-01,1219.44
2017-03-01,1200.0
2017-04-01,1200.0
2017-05-01,1216.67
2017-06-01,1250.0
2017-07-01,1250.0
2017-08-01,1316.67
2017-09-01,1350.0
2017-10-01,1416.67
2017-11-01,1500.0
2017-12-01,1533.33
2018-01-01,1400.0
2018-02-01,1400.0
2018-03-01,1400.0
2018-04-01,1500.0
2018-05-01,1500.0
2018-06-01,1500.0
2018-07-01,1500.0
2018-08-01,1500.0
2018-09-01,1500.0
2018-10-01,1533.33
2018-11-01,1566.67
2018-12-01,1666.67
2019-01-01,1600.0
2019-02-01,1600.0
2019-03-01,1666.67
2019-04-01,1633.33
2019-05-01,1666.67
2019-06-01,1666.67
2019-07-01,1600.0
2019-08-01,1666.67
2019-09-01,1766.67
2019-10-01,1800.0
2019-11-01,1900.0
2019-12-01,1777.56
2020-01-01,1648.99
2020-02-01,1646.03
2020-03-01,1600.0
2020-04-01,1700.0
2020-05-01,1733.33
2020-06-01,1800.0
2020-07-01,1866.67
2020-08-01,1805.53
2020-09-01,1856.67
2020-10-01,1956.67
2020-11-01,1946.67
2020-12-01,1935.46
2021-01-01,2000.0
2021-02-01,1996.93
2021-03-01,2026.67
2021-04-01,2052.5
2021-05-01,2103.33
2021-06-01,2118.88
2021-07-01,2070.0
2021-08-01,1972.5
2021-09-01,1942.61
2021-10-01,1992.83
2021-11-01,1930.48
2021-12-01,2060.0
2022-01-01,2158.33
2022-02-01,2161.67
2022-03-01,2181.67
2022-04-01,2238.33
2022-05-01,2325.0
2022-06-01,2255.19
2022-07-01,2400.0
2022-08-01,2464.0
2022-09-01,2345.0
2022-10-01,2307.58
2022-11-01,2324.0
2022-12-01,2510.0
2023-01-01,2593.33
2023-02-01,2658.33
2023-03-01,2712.0
2023-04-01,2750.0
2023-05-01,2653.17
2023-06-01,2595.0
2023-07-01,2570.0
2023-08-01,2400.0
2023-09-01,2251.38
2023-10-01,2323.33
2023-11-01,2387.81
2023-12-01,2401.69
2024-01-01,2457.19
2024-02-01,2486.67
2024-03-01,2389.99
2024-04-01,2356.73
2024-05-01,2277.58
2024-06-01,2300.66
2024-07-01,2294.67
2024-08-01,2420.0
2024-09-01,2402.17
2024-10-01,2454.33
2024-11-01,2445.15
2024-12-01,2447.41
2025-01-01,2450.07
2025-02-01,2455.29
2025-03-01,2492.43
2025-04-01,2518.98
2025-05-01,2515.84
2025-06-01,2513.98
2025-07-01,2578.25
2025-08-01,2570.84
2025-09-01,2560.44
2025-10-01,2568.32
2025-11-01,2590.83
2025-12-01,2610.64
2026-01-01,2587.49
2026-02-01,2587.7
2026-03-01,2551.22
2026-04-01,2568.91
2026-05-01,2608.04
2026-06-01,2595.96
2026-07-01,2607.3
