date,value
2007-01-01,553.24
2007-02-01,561.33
2007-03-01,555.65
2007-04-01,587.02
2007-05-01,561.29
2007-06-01,549.86
2007-07-01,545.37
2007-08-01,547.29
2007-09-01,505.6
2007-10-01,513.81
2007-11-01,517.41
2007-12-01,519.9
2008-01-01,511.09
2008-02-01,515.45
2008-03-01,525.09
2008-04-01,523.59
2008-05-01,535.34
2008-06-01,537.0
2008-07-01,543.95
2008-08-01,544.51
2008-09-01,551.24
2008-10-01,533.36
2008-11-01,532.45
2008-12-01,531.73
2009-01-01,534.32
2009-02-01,504.84
2009-03-01,508.46
2009-04-01,510.87
2009-05-01,517.89
2009-06-01,524.3
2009-07-01,515.08
2009-08-01,510.36
2009-09-01,488.07
2009-10-01,502.03
2009-11-01,518.69
2009-12-01,499.28
2010-01-01,507.83
2010-02-01,510.36
2010-03-01,508.61
2010-04-01,516.19
2010-05-01,523.35
2010-06-01,524.93
2010-07-01,515.61
2010-08-01,521.58
2010-09-01,566.5
2010-10-01,643.44
2010-11-01,723.7
2010-12-01,733.63
2011-01-01,726.95
2011-02-01,728.93
2011-03-01,724.97
2011-04-01,729.22
2011-05-01,737.79
2011-06-01,708.59
2011-07-01,713.51
2011-08-01,705.59
2011-09-01,700.98
2011-10-01,701.22
2011-11-01,688.63
2011-12-01,692.54
2012-01-01,680.14
2012-02-01,679.65
2012-03-01,671.02
2012-04-01,674.14
2012-05-01,673.31
2012-06-01,668.33
2012-07-01,656.15
2012-08-01,598.79
2012-09-01,658.05
2012-10-01,685.74
2012-11-01,657.86
2012-12-01,654.11
2013-01-01,652.46
2013-02-01,652.67
2013-03-01,660.07
2013-04-01,670.75
2013-05-01,665.37
2013-06-01,681.46
2013-07-01,672.25
2013-08-01,678.24
2013-09-01,676.74
2013-10-01,692.43
2013-11-01,696.0
2013-12-01,700.04
2014-01-01,633.74
2014-02-01,670.62
2014-03-01,659.62
2014-04-01,680.19
2014-05-01,708.35
2014-06-01,687.6
2014-07-01,704.89
2014-08-01,713.21
2014-09-01,700.23
2014-10-01,715.79
2014-11-01,706.0
2014-12-01,634.01
2015-01-01,638.31
2015-02-01,648.12
2015-03-01,668.75
2015-04-01,708.58
2015-05-01,696.74
2015-06-01,689.25
2015-07-01,685.18
2015-08-01,661.35
2015-09-01,697.39
2015-10-01,741.96
2015-11-01,768.27
2015-12-01,720.78
2016-01-01,720.92
2016-02-01,666.44
2016-03-01,724.21
2016-04-01,718.83
2016-05-01,699.34
2016-06-01,736.95
2016-07-01,767.09
2016-08-01,727.85
2016-09-01,760.1
2016-10-01,762.92
2016-11-01,757.44
2016-12-01,756.32
2017-01-01,737.2
2017-02-01,688.62
2017-03-01,684.42
2017-04-01,681.93
2017-05-01,680.13
2017-06-01,699.96
2017-07-01,737.8
2017-08-01,695.64
2017-09-01,678.13
2017-10-01,674.37
2017-11-01,684.35
2017-12-01,684.97
2018-01-01,672.85
2018-02-01,669.48
2018-03-01,689.24
2018-04-01,669.71
2018-05-01,706.72
2018-06-01,654.09
2018-07-01,625.16
2018-08-01,661.79
2018-09-01,622.56
2018-10-01,628.16
2018-11-01,642.25
2018-12-01,645.57
2019-01-01,650.75
2019-02-01,616.62
2019-03-01,651.54
2019-04-01,696.9
2019-05-01,730.96
2019-06-01,747.09
2019-07-01,746.18
2019-08-01,701.49
2019-09-01,696.25
2019-10-01,628.73
2019-11-01,666.83
2019-12-01,683.42
2020-01-01,676.6
2020-02-01,693.36
2020-03-01,691.19
2020-04-01,658.15
2020-05-01,740.48
2020-06-01,724.61
2020-07-01,717.11
2020-08-01,666.38
2020-09-01,647.36
2020-10-01,699.46
2020-11-01,794.67
2020-12-01,719.72
2021-01-01,721.68
2021-02-01,680.19
2021-03-01,713.87
2021-04-01,724.94
2021-05-01,736.5
2021-06-01,741.91
2021-07-01,715.63
2021-08-01,747.15
2021-09-01,740.85
2021-10-01,724.13
2021-11-01,789.11
2021-12-01,736.64
2022-01-01,691.91
2022-02-01,742.59
2022-03-01,735.59
2022-04-01,793.74
2022-05-01,762.36
2022-06-01,787.53
2022-07-01,798.66
2022-08-01,745.62
2022-09-01,758.67
2022-10-01,768.11
2022-11-01,754.04
2022-12-01,790.85
2023-01-01,895.13
2023-02-01,930.04
2023-03-01,913.66
2023-04-01,973.78
2023-05-01,994.75
2023-06-01,1037.13
2023-07-01,974.84
2023-08-01,1080.04
2023-09-01,1168.84
2023-10-01,1288.73
2023-11-01,1327.69
2023-12-01,1255.64
2024-01-01,1255.93
2024-02-01,1297.5
2024-03-01,1295.06
2024-04-01,1337.17
2024-05-01,1325.3
2024-06-01,1366.6
2024-07-01,1328.65
2024-08-01,1355.44
2024-09-01,1372.52
2024-10-01,1341.15
2024-11-01,1294.84
2024-12-01,1246.86
2025-01-01,1188.99
2025-02-01,1159.55
2025-03-01,1116.46
2025-04-01,1164.5
2025-05-01,1176.4
2025-06-01,1207.56
2025-07-01,1114.35
2025-08-01,1055.93
2025-09-01,1121.13
2025-10-01,1089.14
2025-11-01,1066.28
2025-12-01,1097.4
2026-01-01,1047.4
2026-02-01,1045.52
2026-03-01,1003.81
2026-04-01,1118.81
2026-05-01,1045.79
2026-06-01,1060.53
2026-07-01,1053.44
