date,value
2007-01-01,100.87
2007-02-01,102.13
2007-03-01,102.31
2007-04-01,104.33
2007-05-01,105.25
2007-06-01,109.78
2007-07-01,111.7
2007-08-01,112.05
2007-09-01,112.78
2007-10-01,107.27
2007-11-01,106.03
2007-12-01,104.03
2008-01-01,104.86
2008-02-01,107.06
2008-03-01,105.24
2008-04-01,105.07
2008-05-01,109.06
2008-06-01,109.05
2008-07-01,107.34
2008-08-01,108.71
2008-09-01,106.83
2008-10-01,108.51
2008-11-01,109.12
2008-12-01,109.0
2009-01-01,110.86
2009-02-01,109.34
2009-03-01,108.9
2009-04-01,121.84
2009-05-01,125.21
2009-06-01,122.15
2009-07-01,110.64
2009-08-01,111.45
2009-09-01,108.11
2009-10-01,108.24
2009-11-01,107.34
2009-12-01,107.61
2010-01-01,107.34
2010-02-01,108.23
2010-03-01,106.69
2010-04-01,106.05
2010-05-01,105.28
2010-06-01,107.49
2010-07-01,106.43
2010-08-01,111.4
2010-09-01,116.86
2010-10-01,116.51
2010-11-01,110.6
2010-12-01,111.59
2011-01-01,110.72
2011-02-01,109.3
2011-03-01,127.02
2011-04-01,130.76
2011-05-01,133.92
2011-06-01,132.09
2011-07-01,131.44
2011-08-01,130.86
2011-09-01,129.98
2011-10-01,128.48
2011-11-01,125.43
2011-12-01,127.08
2012-01-01,124.64
2012-02-01,117.38
2012-03-01,122.65
2012-04-01,127.59
2012-05-01,139.82
2012-06-01,133.78
2012-07-01,130.42
2012-08-01,121.82
2012-09-01,120.47
2012-10-01,121.68
2012-11-01,116.56
2012-12-01,126.76
2013-01-01,133.57
2013-02-01,137.51
2013-03-01,138.75
2013-04-01,133.19
2013-05-01,133.25
2013-06-01,134.76
2013-07-01,130.49
2013-08-01,136.16
2013-09-01,133.4
2013-10-01,136.22
2013-11-01,139.52
2013-12-01,139.59
2014-01-01,131.23
2014-02-01,135.73
2014-03-01,144.45
2014-04-01,143.14
2014-05-01,145.3
2014-06-01,147.97
2014-07-01,153.14
2014-08-01,148.09
2014-09-01,148.38
2014-10-01,142.56
2014-11-01,138.36
2014-12-01,138.25
2015-01-01,147.16
2015-02-01,159.26
2015-03-01,149.63
2015-04-01,138.08
2015-05-01,127.75
2015-06-01,118.33
2015-07-01,117.13
2015-08-01,124.87
2015-09-01,130.96
2015-10-01,126.58
2015-11-01,132.99
2015-12-01,149.79
2016-01-01,146.04
2016-02-01,149.22
2016-03-01,156.01
2016-04-01,153.47
2016-05-01,164.21
2016-06-01,173.73
2016-07-01,160.58
2016-08-01,164.41
2016-09-01,159.43
2016-10-01,161.3
2016-11-01,163.31
2016-12-01,165.24
2017-01-01,183.59
2017-02-01,176.13
2017-03-01,173.39
2017-04-01,185.19
2017-05-01,203.03
2017-06-01,212.22
2017-07-01,193.51
2017-08-01,198.33
2017-09-01,168.64
2017-10-01,158.51
2017-11-01,172.61
2017-12-01,179.22
2018-01-01,201.44
2018-02-01,182.17
2018-03-01,170.27
2018-04-01,177.97
2018-05-01,167.8
2018-06-01,157.84
2018-07-01,151.73
2018-08-01,155.72
2018-09-01,148.79
2018-10-01,170.47
2018-11-01,181.08
2018-12-01,183.97
2019-01-01,184.88
2019-02-01,206.07
2019-03-01,201.92
2019-04-01,193.32
2019-05-01,172.52
2019-06-01,192.52
2019-07-01,195.38
2019-08-01,192.58
2019-09-01,198.65
2019-10-01,202.33
2019-11-01,207.12
2019-12-01,184.11
2020-01-01,199.16
2020-02-01,214.52
2020-03-01,215.29
2020-04-01,217.46
2020-05-01,243.79
2020-06-01,248.03
2020-07-01,238.2
2020-08-01,235.53
2020-09-01,228.39
2020-10-01,221.69
2020-11-01,230.88
2020-12-01,235.98
2021-01-01,227.77
2021-02-01,227.43
2021-03-01,215.36
2021-04-01,224.93
2021-05-01,224.83
2021-06-01,225.3
2021-07-01,212.74
2021-08-01,219.29
2021-09-01,208.58
2021-10-01,215.43
2021-11-01,222.81
2021-12-01,219.24
2022-01-01,255.71
2022-02-01,261.87
2022-03-01,237.08
2022-04-01,225.6
2022-05-01,222.1
2022-06-01,209.91
2022-07-01,207.14
2022-08-01,201.0
2022-09-01,216.67
2022-10-01,244.17
2022-11-01,233.63
2022-12-01,280.35
2023-01-01,324.48
2023-02-01,353.85
2023-03-01,350.7
2023-04-01,365.8
2023-05-01,364.31
2023-06-01,365.04
2023-07-01,369.2
2023-08-01,366.08
2023-09-01,341.12
2023-10-01,345.68
2023-11-01,351.05
2023-12-01,333.73
2024-01-01,328.23
2024-02-01,311.81
2024-03-01,308.16
2024-04-01,297.1
2024-05-01,285.53
2024-06-01,268.32
2024-07-01,260.41
2024-08-01,260.5
2024-09-01,280.4
2024-10-01,281.44
2024-11-01,274.16
2024-12-01,283.01
2025-01-01,288.87
2025-02-01,278.18
2025-03-01,282.53
2025-04-01,298.46
2025-05-01,297.38
2025-06-01,279.91
2025-07-01,279.02
2025-08-01,272.09
2025-09-01,280.49
2025-10-01,284.6
2025-11-01,283.98
2025-12-01,301.41
2026-01-01,286.78
2026-02-01,283.51
2026-03-01,289.32
2026-04-01,275.9
2026-05-01,294.1
2026-06-01,291.49
2026-07-01,292.8
