date,value
2007-01-01,123.1
2007-02-01,124.71
2007-03-01,123.24
2007-04-01,125.03
2007-05-01,128.11
2007-06-01,128.14
2007-07-01,128.59
2007-08-01,130.03
2007-09-01,133.31
2007-10-01,133.17
2007-11-01,132.84
2007-12-01,132.72
2008-01-01,134.71
2008-02-01,135.17
2008-03-01,129.44
2008-04-01,127.15
2008-05-01,133.57
2008-06-01,130.01
2008-07-01,130.35
2008-08-01,131.97
2008-09-01,133.93
2008-10-01,135.29
2008-11-01,133.6
2008-12-01,134.25
2009-01-01,132.73
2009-02-01,135.61
2009-03-01,136.88
2009-04-01,131.59
2009-05-01,134.64
2009-06-01,136.88
2009-07-01,138.48
2009-08-01,142.65
2009-09-01,149.38
2009-10-01,151.8
2009-11-01,150.84
2009-12-01,151.44
2010-01-01,151.79
2010-02-01,146.95
2010-03-01,146.27
2010-04-01,148.66
2010-05-01,153.91
2010-06-01,161.83
2010-07-01,157.7
2010-08-01,162.46
2010-09-01,174.88
2010-10-01,171.64
2010-11-01,160.08
2010-12-01,157.43
2011-01-01,155.5
2011-02-01,153.45
2011-03-01,150.85
2011-04-01,152.79
2011-05-01,152.86
2011-06-01,156.8
2011-07-01,155.77
2011-08-01,154.49
2011-09-01,160.43
2011-10-01,159.35
2011-11-01,157.08
2011-12-01,159.63
2012-01-01,159.55
2012-02-01,151.26
2012-03-01,163.57
2012-04-01,161.93
2012-05-01,172.34
2012-06-01,173.67
2012-07-01,179.27
2012-08-01,178.7
2012-09-01,179.67
2012-10-01,178.87
2012-11-01,173.36
2012-12-01,183.33
2013-01-01,189.1
2013-02-01,179.18
2013-03-01,175.76
2013-04-01,171.91
2013-05-01,170.16
2013-06-01,180.94
2013-07-01,178.59
2013-08-01,191.03
2013-09-01,177.56
2013-10-01,177.36
2013-11-01,177.0
2013-12-01,178.69
2014-01-01,166.98
2014-02-01,164.85
2014-03-01,164.37
2014-04-01,177.51
2014-05-01,169.1
2014-06-01,174.41
2014-07-01,187.79
2014-08-01,194.79
2014-09-01,194.77
2014-10-01,192.32
2014-11-01,193.67
2014-12-01,177.58
2015-01-01,172.57
2015-02-01,172.8
2015-03-01,171.86
2015-04-01,198.27
2015-05-01,208.2
2015-06-01,202.26
2015-07-01,217.56
2015-08-01,220.58
2015-09-01,236.21
2015-10-01,241.98
2015-11-01,251.04
2015-12-01,243.16
2016-01-01,229.15
2016-02-01,231.1
2016-03-01,234.55
2016-04-01,258.78
2016-05-01,284.02
2016-06-01,292.6
2016-07-01,307.28
2016-08-01,301.57
2016-09-01,299.66
2016-10-01,306.32
2016-11-01,306.48
2016-12-01,303.83
2017-01-01,286.52
2017-02-01,275.44
2017-03-01,281.06
2017-04-01,260.19
2017-05-01,293.98
2017-06-01,287.27
2017-07-01,265.39
2017-08-01,301.82
2017-09-01,276.83
2017-10-01,270.18
2017-11-01,254.71
2017-12-01,253.37
2018-01-01,261.69
2018-02-01,225.89
2018-03-01,231.88
2018-04-01,253.09
2018-05-01,270.39
2018-06-01,266.58
2018-07-01,251.21
2018-08-01,261.61
2018-09-01,253.84
2018-10-01,268.89
2018-11-01,286.61
2018-12-01,289.87
2019-01-01,285.27
2019-02-01,329.39
2019-03-01,314.47
2019-04-01,307.27
2019-05-01,290.97
2019-06-01,294.19
2019-07-01,324.14
2019-08-01,334.64
2019-09-01,348.51
2019-10-01,350.6
2019-11-01,343.06
2019-12-01,337.8
2020-01-01,327.92
2020-02-01,326.51
2020-03-01,326.1
2020-04-01,349.49
2020-05-01,384.69
2020-06-01,415.63
2020-07-01,414.32
2020-08-01,423.92
2020-09-01,458.32
2020-10-01,411.08
2020-11-01,417.05
2020-12-01,385.31
2021-01-01,385.71
2021-02-01,375.82
2021-03-01,356.13
2021-04-01,376.57
2021-05-01,384.19
2021-06-01,389.4
2021-07-01,399.51
2021-08-01,395.09
2021-09-01,392.27
2021-10-01,385.12
2021-11-01,383.15
2021-12-01,350.43
2022-01-01,348.93
2022-02-01,333.09
2022-03-01,323.48
2022-04-01,350.32
2022-05-01,328.16
2022-06-01,323.95
2022-07-01,367.71
2022-08-01,452.59
2022-09-01,475.19
2022-10-01,510.92
2022-11-01,457.47
2022-12-01,471.22
2023-01-01,485.04
2023-02-01,505.4
2023-03-01,523.4
2023-04-01,608.13
2023-05-01,631.87
2023-06-01,684.1
2023-07-01,664.54
2023-08-01,587.23
2023-09-01,502.46
2023-10-01,477.76
2023-11-01,454.93
2023-12-01,410.63
2024-01-01,399.17
2024-02-01,428.47
2024-03-01,422.17
2024-04-01,464.06
2024-05-01,524.3
2024-06-01,516.69
2024-07-01,538.19
2024-08-01,594.09
2024-09-01,641.62
2024-10-01,644.31
2024-11-01,596.41
2024-12-01,588.3
2025-01-01,601.28
2025-02-01,573.58
2025-03-01,581.76
2025-04-01,666.83
2025-05-01,712.31
2025-06-01,778.46
2025-07-01,729.69
2025-08-01,737.87
2025-09-01,697.23
2025-10-01,710.94
2025-11-01,726.54
2025-12-01,641.71
2026-01-01,619.31
2026-02-01,621.91
2026-03-01,600.0
2026-04-01,628.87
2026-05-01,643.13
2026-06-01,643.8
2026-07-01,653.73
