date,value
2007-01-01,200.69
2007-02-01,197.81
2007-03-01,203.37
2007-04-01,213.61
2007-05-01,210.65
2007-06-01,209.86
2007-07-01,206.88
2007-08-01,203.58
2007-09-01,188.56
2007-10-01,190.61
2007-11-01,196.6
2007-12-01,194.88
2008-01-01,198.26
2008-02-01,203.15
2008-03-01,208.65
2008-04-01,209.87
2008-05-01,212.98
2008-06-01,215.87
2008-07-01,224.22
2008-08-01,232.89
2008-09-01,236.87
2008-10-01,247.69
2008-11-01,259.15
2008-12-01,265.21
2009-01-01,264.94
2009-02-01,274.89
2009-03-01,277.67
2009-04-01,292.17
2009-05-01,343.01
2009-06-01,336.55
2009-07-01,313.2
2009-08-01,312.91
2009-09-01,296.78
2009-10-01,292.66
2009-11-01,295.89
2009-12-01,293.44
2010-01-01,295.8
2010-02-01,275.58
2010-03-01,286.51
2010-04-01,296.45
2010-05-01,302.51
2010-06-01,299.48
2010-07-01,295.82
2010-08-01,299.02
2010-09-01,284.99
2010-10-01,285.6
2010-11-01,279.04
2010-12-01,281.49
2011-01-01,288.02
2011-02-01,292.62
2011-03-01,301.86
2011-04-01,303.23
2011-05-01,310.03
2011-06-01,331.71
2011-07-01,353.29
2011-08-01,324.46
2011-09-01,328.4
2011-10-01,320.27
2011-11-01,323.96
2011-12-01,325.38
2012-01-01,338.4
2012-02-01,332.93
2012-03-01,328.8
2012-04-01,351.96
2012-05-01,371.63
2012-06-01,373.91
2012-07-01,351.41
2012-08-01,322.09
2012-09-01,311.2
2012-10-01,319.12
2012-11-01,310.47
2012-12-01,311.44
2013-01-01,324.68
2013-02-01,315.43
2013-03-01,324.74
2013-04-01,313.7
2013-05-01,332.33
2013-06-01,341.34
2013-07-01,323.17
2013-08-01,318.87
2013-09-01,304.45
2013-10-01,321.49
2013-11-01,344.84
2013-12-01,342.98
2014-01-01,377.19
2014-02-01,372.68
2014-03-01,394.33
2014-04-01,438.07
2014-05-01,460.86
2014-06-01,455.21
2014-07-01,466.31
2014-08-01,514.03
2014-09-01,565.0
2014-10-01,553.27
2014-11-01,498.35
2014-12-01,435.43
2015-01-01,410.77
2015-02-01,403.23
2015-03-01,373.8
2015-04-01,393.87
2015-05-01,430.18
2015-06-01,401.69
2015-07-01,346.58
2015-08-01,343.93
2015-09-01,292.01
2015-10-01,296.11
2015-11-01,334.61
2015-12-01,317.71
2016-01-01,361.12
2016-02-01,369.59
2016-03-01,368.79
2016-04-01,314.07
2016-05-01,320.04
2016-06-01,319.69
2016-07-01,317.31
2016-08-01,313.07
2016-09-01,304.27
2016-10-01,314.88
2016-11-01,346.11
2016-12-01,312.08
2017-01-01,316.05
2017-02-01,318.66
2017-03-01,334.1
2017-04-01,321.35
2017-05-01,331.13
2017-06-01,322.5
2017-07-01,345.15
2017-08-01,346.71
2017-09-01,335.91
2017-10-01,321.62
2017-11-01,340.12
2017-12-01,324.5
2018-01-01,373.49
2018-02-01,380.07
2018-03-01,391.08
2018-04-01,372.61
2018-05-01,397.29
2018-06-01,390.83
2018-07-01,419.62
2018-08-01,426.42
2018-09-01,386.07
2018-10-01,389.65
2018-11-01,363.81
2018-12-01,374.31
2019-01-01,360.26
2019-02-01,367.04
2019-03-01,388.63
2019-04-01,394.41
2019-05-01,406.22
2019-06-01,363.87
2019-07-01,364.25
2019-08-01,341.94
2019-09-01,362.38
2019-10-01,390.6
2019-11-01,398.59
2019-12-01,413.21
2020-01-01,367.55
2020-02-01,408.02
2020-03-01,408.54
2020-04-01,410.94
2020-05-01,367.08
2020-06-01,370.8
2020-07-01,395.55
2020-08-01,373.23
2020-09-01,342.64
2020-10-01,356.25
2020-11-01,344.52
2020-12-01,321.16
2021-01-01,307.28
2021-02-01,324.76
2021-03-01,327.72
2021-04-01,286.29
2021-05-01,274.06
2021-06-01,262.34
2021-07-01,262.05
2021-08-01,260.59
2021-09-01,260.93
2021-10-01,261.18
2021-11-01,262.19
2021-12-01,242.47
2022-01-01,207.76
2022-02-01,208.27
2022-03-01,216.04
2022-04-01,217.14
2022-05-01,214.58
2022-06-01,214.12
2022-07-01,215.84
2022-08-01,215.9
2022-09-01,211.07
2022-10-01,208.95
2022-11-01,211.75
2022-12-01,208.06
2023-01-01,196.49
2023-02-01,235.79
2023-03-01,232.13
2023-04-01,211.98
2023-05-01,224.32
2023-06-01,262.83
2023-07-01,266.39
2023-08-01,308.34
2023-09-01,310.97
2023-10-01,255.49
2023-11-01,218.78
2023-12-01,214.48
2024-01-01,218.94
2024-02-01,214.64
2024-03-01,227.19
2024-04-01,235.37
2024-05-01,274.37
2024-06-01,299.94
2024-07-01,334.49
2024-08-01,305.67
2024-09-01,296.29
2024-10-01,281.52
2024-11-01,269.04
2024-12-01,250.37
2025-01-01,260.82
2025-02-01,254.4
2025-03-01,260.67
2025-04-01,278.08
2025-05-01,269.38
2025-06-01,276.12
2025-07-01,267.54
2025-08-01,254.32
2025-09-01,241.64
2025-10-01,194.21
2025-11-01,173.26
2025-12-01,165.54
2026-01-01,176.15
2026-02-01,184.49
2026-03-01,187.01
2026-04-01,195.51
2026-05-01,197.19
2026-06-01,202.84
2026-07-01,204.58
