date,value
2007-01-01,593.04
2007-02-01,562.88
2007-03-01,576.85
2007-04-01,564.11
2007-05-01,553.78
2007-06-01,567.15
2007-07-01,575.82
2007-08-01,572.78
2007-09-01,571.59
2007-10-01,577.98
2007-11-01,575.34
2007-12-01,575.22
2008-01-01,681.67
2008-02-01,733.93
2008-03-01,767.99
2008-04-01,736.78
2008-05-01,706.47
2008-06-01,706.44
2008-07-01,742.98
2008-08-01,766.22
2008-09-01,779.69
2008-10-01,741.78
2008-11-01,765.77
2008-12-01,763.26
2009-01-01,748.1
2009-02-01,756.65
2009-03-01,696.08
2009-04-01,660.04
2009-05-01,672.97
2009-06-01,741.39
2009-07-01,667.65
2009-08-01,667.34
2009-09-01,661.36
2009-10-01,650.68
2009-11-01,623.21
2009-12-01,625.5
2010-01-01,632.88
2010-02-01,620.81
2010-03-01,623.2
2010-04-01,631.0
2010-05-01,630.54
2010-06-01,606.53
2010-07-01,599.03
2010-08-01,579.59
2010-09-01,575.01
2010-10-01,585.15
2010-11-01,590.5
2010-12-01,574.24
2011-01-01,564.35
2011-02-01,559.75
2011-03-01,571.13
2011-04-01,577.73
2011-05-01,567.0
2011-06-01,536.97
2011-07-01,561.17
2011-08-01,623.85
2011-09-01,543.19
2011-10-01,559.46
2011-11-01,558.74
2011-12-01,544.66
2012-01-01,546.45
2012-02-01,543.3
2012-03-01,556.58
2012-04-01,522.73
2012-05-01,540.49
2012-06-01,534.3
2012-07-01,534.17
2012-08-01,535.56
2012-09-01,564.27
2012-10-01,575.55
2012-11-01,557.41
2012-12-01,614.78
2013-01-01,579.44
2013-02-01,669.63
2013-03-01,682.58
2013-04-01,708.64
2013-05-01,683.61
2013-06-01,703.01
2013-07-01,666.5
2013-08-01,699.92
2013-09-01,767.57
2013-10-01,809.42
2013-11-01,775.02
2013-12-01,776.74
2014-01-01,760.61
2014-02-01,746.84
2014-03-01,765.61
2014-04-01,684.66
2014-05-01,556.25
2014-06-01,590.13
2014-07-01,593.59
2014-08-01,577.79
2014-09-01,559.48
2014-10-01,565.91
2014-11-01,565.06
2014-12-01,558.0
2015-01-01,550.0
2015-02-01,500.0
2015-03-01,500.0
2015-04-01,500.0
2015-05-01,550.0
2015-06-01,550.0
2015-07-01,500.0
2015-08-01,500.0
2015-09-01,500.0
2015-10-01,550.0
2015-11-01,550.0
2015-12-01,550.0
2016-01-01,550.0
2016-02-01,550.0
2016-03-01,550.0
2016-04-01,600.0
2016-05-01,600.0
2016-06-01,600.0
2016-07-01,550.0
2016-08-01,550.0
2016-09-01,575.0
2016-10-01,575.0
2016-11-01,600.0
2016-12-01,600.0
2017-01-01,533.33
2017-02-01,533.33
2017-03-01,541.67
2017-04-01,575.0
2017-05-01,575.0
2017-06-01,600.0
2017-07-01,558.33
2017-08-01,533.33
2017-09-01,508.33
2017-10-01,558.33
2017-11-01,575.0
2017-12-01,616.67
2018-01-01,551.76
2018-02-01,566.67
2018-03-01,600.0
2018-04-01,650.0
2018-05-01,666.67
2018-06-01,683.33
2018-07-01,633.33
2018-08-01,600.0
2018-09-01,569.39
2018-10-01,633.33
2018-11-01,666.67
2018-12-01,683.33
2019-01-01,597.87
2019-02-01,583.33
2019-03-01,633.33
2019-04-01,666.67
2019-05-01,700.0
2019-06-01,700.0
2019-07-01,650.0
2019-08-01,625.0
2019-09-01,616.67
2019-10-01,650.0
2019-11-01,700.0
2019-12-01,700.0
2020-01-01,590.43
2020-02-01,566.67
2020-03-01,566.67
2020-04-01,616.67
2020-05-01,658.33
2020-06-01,700.0
2020-07-01,658.33
2020-08-01,657.8
2020-09-01,665.33
2020-10-01,662.76
2020-11-01,671.15
2020-12-01,678.51
2021-01-01,660.8
2021-02-01,657.13
2021-03-01,658.76
2021-04-01,641.05
2021-05-01,655.88
2021-06-01,682.3
2021-07-01,710.42
2021-08-01,667.5
2021-09-01,614.67
2021-10-01,622.08
2021-11-01,691.01
2021-12-01,815.24
2022-01-01,937.68
2022-02-01,899.17
2022-03-01,783.75
2022-04-01,715.0
2022-05-01,679.49
2022-06-01,788.33
2022-07-01,946.11
2022-08-01,1027.33
2022-09-01,934.17
2022-10-01,1066.25
2022-11-01,1200.0
2022-12-01,1166.67
2023-01-01,1049.17
2023-02-01,1001.67
2023-03-01,1154.0
2023-04-01,997.08
2023-05-01,910.0
2023-06-01,875.0
2023-07-01,904.17
2023-08-01,944.67
2023-09-01,965.0
2023-10-01,979.58
2023-11-01,926.33
2023-12-01,946.37
2024-01-01,928.0
2024-02-01,966.67
2024-03-01,979.17
2024-04-01,906.82
2024-05-01,852.33
2024-06-01,840.42
2024-07-01,866.33
2024-08-01,885.0
2024-09-01,897.0
2024-10-01,899.73
2024-11-01,883.03
2024-12-01,892.5
2025-01-01,891.39
2025-02-01,908.03
2025-03-01,889.98
2025-04-01,884.0
2025-05-01,864.72
2025-06-01,904.38
2025-07-01,932.71
2025-08-01,970.41
2025-09-01,963.03
2025-10-01,963.21
2025-11-01,971.48
2025-12-01,1003.59
2026-01-01,1014.19
2026-02-01,993.58
2026-03-01,951.53
2026-04-01,982.56
2026-05-01,959.46
2026-06-01,962.73
2026-07-01,958.51
