date,value
2007-01-01,120.85
2007-02-01,121.84
2007-03-01,121.32
2007-04-01,127.1
2007-05-01,130.01
2007-06-01,129.21
2007-07-01,129.68
2007-08-01,130.13
2007-09-01,138.15
2007-10-01,140.72
2007-11-01,141.87
2007-12-01,134.56
2008-01-01,138.24
2008-02-01,135.15
2008-03-01,127.5
2008-04-01,124.15
2008-05-01,131.58
2008-06-01,130.55
2008-07-01,132.33
2008-08-01,132.59
2008-09-01,132.12
2008-10-01,135.94
2008-11-01,134.18
2008-12-01,135.8
2009-01-01,130.69
2009-02-01,131.94
2009-03-01,131.13
2009-04-01,126.09
2009-05-01,131.26
2009-06-01,133.87
2009-07-01,140.27
2009-08-01,138.84
2009-09-01,128.75
2009-10-01,129.12
2009-11-01,132.57
2009-12-01,136.27
2010-01-01,138.43
2010-02-01,133.43
2010-03-01,133.25
2010-04-01,134.9
2010-05-01,140.0
2010-06-01,151.16
2010-07-01,145.95
2010-08-01,149.33
2010-09-01,156.4
2010-10-01,163.07
2010-11-01,159.34
2010-12-01,158.73
2011-01-01,158.32
2011-02-01,155.15
2011-03-01,148.31
2011-04-01,150.26
2011-05-01,153.8
2011-06-01,153.03
2011-07-01,151.52
2011-08-01,149.8
2011-09-01,151.27
2011-10-01,152.82
2011-11-01,151.79
2011-12-01,157.67
2012-01-01,159.16
2012-02-01,149.17
2012-03-01,164.03
2012-04-01,162.34
2012-05-01,166.26
2012-06-01,168.53
2012-07-01,170.26
2012-08-01,157.37
2012-09-01,163.85
2012-10-01,162.01
2012-11-01,155.11
2012-12-01,168.43
2013-01-01,169.89
2013-02-01,161.25
2013-03-01,159.91
2013-04-01,162.54
2013-05-01,164.48
2013-06-01,170.08
2013-07-01,169.68
2013-08-01,183.5
2013-09-01,169.8
2013-10-01,174.22
2013-11-01,176.14
2013-12-01,176.6
2014-01-01,161.44
2014-02-01,158.87
2014-03-01,157.39
2014-04-01,155.56
2014-05-01,170.47
2014-06-01,173.47
2014-07-01,169.08
2014-08-01,182.53
2014-09-01,177.11
2014-10-01,171.16
2014-11-01,186.96
2014-12-01,194.81
2015-01-01,191.32
2015-02-01,201.24
2015-03-01,204.8
2015-04-01,216.33
2015-05-01,248.43
2015-06-01,244.01
2015-07-01,224.66
2015-08-01,234.64
2015-09-01,222.17
2015-10-01,206.94
2015-11-01,217.6
2015-12-01,234.93
2016-01-01,222.75
2016-02-01,231.53
2016-03-01,238.31
2016-04-01,255.03
2016-05-01,300.37
2016-06-01,331.6
2016-07-01,326.94
2016-08-01,345.48
2016-09-01,326.64
2016-10-01,333.75
2016-11-01,332.03
2016-12-01,332.48
2017-01-01,308.56
2017-02-01,292.26
2017-03-01,283.62
2017-04-01,259.98
2017-05-01,285.88
2017-06-01,293.87
2017-07-01,284.95
2017-08-01,293.29
2017-09-01,272.14
2017-10-01,272.42
2017-11-01,279.22
2017-12-01,287.51
2018-01-01,273.55
2018-02-01,242.45
2018-03-01,251.8
2018-04-01,266.62
2018-05-01,291.09
2018-06-01,274.41
2018-07-01,257.98
2018-08-01,261.79
2018-09-01,243.79
2018-10-01,259.03
2018-11-01,255.04
2018-12-01,257.27
2019-01-01,250.18
2019-02-01,268.38
2019-03-01,260.14
2019-04-01,265.12
2019-05-01,271.23
2019-06-01,284.41
2019-07-01,279.69
2019-08-01,286.85
2019-09-01,287.73
2019-10-01,271.03
2019-11-01,266.48
2019-12-01,266.11
2020-01-01,264.28
2020-02-01,260.61
2020-03-01,254.68
2020-04-01,248.79
2020-05-01,274.57
2020-06-01,297.63
2020-07-01,304.14
2020-08-01,297.58
2020-09-01,304.44
2020-10-01,299.67
2020-11-01,296.72
2020-12-01,304.66
2021-01-01,301.04
2021-02-01,295.91
2021-03-01,290.52
2021-04-01,280.57
2021-05-01,284.85
2021-06-01,287.07
2021-07-01,302.6
2021-08-01,299.2
2021-09-01,293.47
2021-10-01,292.24
2021-11-01,278.38
2021-12-01,287.96
2022-01-01,286.61
2022-02-01,276.07
2022-03-01,273.12
2022-04-01,279.56
2022-05-01,285.2
2022-06-01,319.43
2022-07-01,325.02
2022-08-01,303.56
2022-09-01,299.29
2022-10-01,285.91
2022-11-01,261.83
2022-12-01,261.2
2023-01-01,261.52
2023-02-01,278.88
2023-03-01,290.8
2023-04-01,335.77
2023-05-01,344.33
2023-06-01,397.91
2023-07-01,385.74
2023-08-01,414.43
2023-09-01,406.02
2023-10-01,397.79
2023-11-01,369.63
2023-12-01,351.47
2024-01-01,346.32
2024-02-01,371.98
2024-03-01,388.55
2024-04-01,402.93
2024-05-01,407.35
2024-06-01,403.22
2024-07-01,400.54
2024-08-01,415.64
2024-09-01,431.03
2024-10-01,383.98
2024-11-01,378.27
2024-12-01,404.45
2025-01-01,415.53
2025-02-01,441.6
2025-03-01,464.58
2025-04-01,520.74
2025-05-01,552.76
2025-06-01,577.39
2025-07-01,532.07
2025-08-01,523.13
2025-09-01,520.22
2025-10-01,537.53
2025-11-01,535.21
2025-12-01,521.73
2026-01-01,487.14
2026-02-01,502.66
2026-03-01,545.67
2026-04-01,498.23
2026-05-01,540.35
2026-06-01,562.27
2026-07-01,565.83
