date,value
2007-01-01,192.54
2007-02-01,203.71
2007-03-01,206.08
2007-04-01,210.54
2007-05-01,212.75
2007-06-01,188.76
2007-07-01,174.16
2007-08-01,185.27
2007-09-01,184.01
2007-10-01,183.45
2007-11-01,187.06
2007-12-01,197.77
2008-01-01,195.99
2008-02-01,179.69
2008-03-01,176.31
2008-04-01,176.46
2008-05-01,180.19
2008-06-01,188.12
2008-07-01,181.86
2008-08-01,181.51
2008-09-01,182.04
2008-10-01,180.67
2008-11-01,185.12
2008-12-01,190.34
2009-01-01,185.91
2009-02-01,187.59
2009-03-01,199.2
2009-04-01,202.49
2009-05-01,204.68
2009-06-01,203.14
2009-07-01,184.57
2009-08-01,185.29
2009-09-01,187.64
2009-10-01,196.03
2009-11-01,204.74
2009-12-01,196.98
2010-01-01,201.58
2010-02-01,198.73
2010-03-01,196.77
2010-04-01,202.57
2010-05-01,213.9
2010-06-01,229.06
2010-07-01,203.4
2010-08-01,201.76
2010-09-01,201.1
2010-10-01,226.24
2010-11-01,226.25
2010-12-01,240.24
2011-01-01,240.38
2011-02-01,210.13
2011-03-01,199.24
2011-04-01,205.2
2011-05-01,211.91
2011-06-01,209.75
2011-07-01,187.5
2011-08-01,180.68
2011-09-01,179.04
2011-10-01,174.75
2011-11-01,182.46
2011-12-01,191.19
2012-01-01,196.93
2012-02-01,197.6
2012-03-01,205.03
2012-04-01,209.48
2012-05-01,214.32
2012-06-01,202.33
2012-07-01,205.73
2012-08-01,195.06
2012-09-01,185.76
2012-10-01,187.01
2012-11-01,185.09
2012-12-01,201.47
2013-01-01,203.02
2013-02-01,200.56
2013-03-01,200.89
2013-04-01,194.33
2013-05-01,200.41
2013-06-01,203.64
2013-07-01,200.41
2013-08-01,203.87
2013-09-01,192.67
2013-10-01,194.44
2013-11-01,197.28
2013-12-01,193.65
2014-01-01,211.58
2014-02-01,230.53
2014-03-01,228.56
2014-04-01,236.18
2014-05-01,243.42
2014-06-01,235.26
2014-07-01,229.69
2014-08-01,230.08
2014-09-01,229.76
2014-10-01,230.12
2014-11-01,262.82
2014-12-01,263.04
2015-01-01,274.91
2015-02-01,287.57
2015-03-01,283.41
2015-04-01,311.96
2015-05-01,336.82
2015-06-01,317.68
2015-07-01,294.91
2015-08-01,301.86
2015-09-01,341.35
2015-10-01,346.51
2015-11-01,381.31
2015-12-01,350.93
2016-01-01,322.67
2016-02-01,318.92
2016-03-01,353.09
2016-04-01,337.18
2016-05-01,327.8
2016-06-01,320.94
2016-07-01,299.93
2016-08-01,327.4
2016-09-01,356.52
2016-10-01,356.95
2016-11-01,351.74
2016-12-01,349.57
2017-01-01,325.25
2017-02-01,376.49
2017-03-01,348.67
2017-04-01,341.6
2017-05-01,313.07
2017-06-01,314.54
2017-07-01,275.1
2017-08-01,272.68
2017-09-01,277.43
2017-10-01,273.05
2017-11-01,279.79
2017-12-01,283.35
2018-01-01,273.15
2018-02-01,292.77
2018-03-01,289.08
2018-04-01,296.1
2018-05-01,287.39
2018-06-01,269.6
2018-07-01,257.91
2018-08-01,279.92
2018-09-01,288.68
2018-10-01,291.74
2018-11-01,281.63
2018-12-01,305.14
2019-01-01,297.91
2019-02-01,354.64
2019-03-01,362.28
2019-04-01,346.49
2019-05-01,327.68
2019-06-01,299.2
2019-07-01,315.33
2019-08-01,337.7
2019-09-01,341.78
2019-10-01,337.09
2019-11-01,325.57
2019-12-01,325.29
2020-01-01,311.57
2020-02-01,298.01
2020-03-01,303.85
2020-04-01,346.7
2020-05-01,379.19
2020-06-01,388.7
2020-07-01,386.56
2020-08-01,367.59
2020-09-01,350.86
2020-10-01,384.02
2020-11-01,358.75
2020-12-01,372.96
2021-01-01,383.4
2021-02-01,370.71
2021-03-01,362.08
2021-04-01,402.66
2021-05-01,409.85
2021-06-01,384.16
2021-07-01,376.1
2021-08-01,350.93
2021-09-01,355.06
2021-10-01,377.59
2021-11-01,398.21
2021-12-01,402.09
2022-01-01,330.93
2022-02-01,331.28
2022-03-01,349.29
2022-04-01,380.08
2022-05-01,390.87
2022-06-01,377.51
2022-07-01,350.84
2022-08-01,336.59
2022-09-01,347.41
2022-10-01,338.19
2022-11-01,338.76
2022-12-01,346.84
2023-01-01,355.24
2023-02-01,378.9
2023-03-01,363.48
2023-04-01,400.9
2023-05-01,396.75
2023-06-01,345.24
2023-07-01,333.38
2023-08-01,335.91
2023-09-01,351.78
2023-10-01,358.42
2023-11-01,343.58
2023-12-01,343.27
2024-01-01,336.98
2024-02-01,349.91
2024-03-01,365.44
2024-04-01,398.33
2024-05-01,387.51
2024-06-01,343.38
2024-07-01,348.87
2024-08-01,359.99
2024-09-01,388.68
2024-10-01,411.1
2024-11-01,414.86
2024-12-01,444.4
2025-01-01,506.3
2025-02-01,517.52
2025-03-01,516.86
2025-04-01,551.35
2025-05-01,597.85
2025-06-01,520.55
2025-07-01,451.84
2025-08-01,392.61
2025-09-01,412.89
2025-10-01,465.73
2025-11-01,528.97
2025-12-01,528.68
2026-01-01,489.1
2026-02-01,487.65
2026-03-01,532.0
2026-04-01,523.61
2026-05-01,550.98
2026-06-01,510.25
2026-07-01,492.73
