date,value
2007-01-01,277.64
2007-02-01,281.23
2007-03-01,280.45
2007-04-01,284.9
2007-05-01,283.44
2007-06-01,284.06
2007-07-01,281.57
2007-08-01,282.07
2007-09-01,284.42
2007-10-01,281.44
2007-11-01,284.51
2007-12-01,288.51
2008-01-01,287.78
2008-02-01,293.5
2008-03-01,294.4
2008-04-01,302.67
2008-05-01,315.51
2008-06-01,325.31
2008-07-01,332.0
2008-08-01,336.07
2008-09-01,333.93
2008-10-01,331.42
2008-11-01,334.2
2008-12-01,332.23
2009-01-01,335.65
2009-02-01,337.35
2009-03-01,340.08
2009-04-01,344.55
2009-05-01,348.11
2009-06-01,349.06
2009-07-01,338.51
2009-08-01,338.49
2009-09-01,336.78
2009-10-01,336.39
2009-11-01,337.24
2009-12-01,338.53
2010-01-01,336.36
2010-02-01,333.41
2010-03-01,331.68
2010-04-01,331.29
2010-05-01,330.5
2010-06-01,332.44
2010-07-01,333.24
2010-08-01,332.62
2010-09-01,335.26
2010-10-01,335.1
2010-11-01,330.93
2010-12-01,334.24
2011-01-01,332.23
2011-02-01,328.18
2011-03-01,344.72
2011-04-01,347.41
2011-05-01,354.1
2011-06-01,347.59
2011-07-01,346.17
2011-08-01,344.94
2011-09-01,348.29
2011-10-01,346.7
2011-11-01,346.22
2011-12-01,349.65
2012-01-01,343.29
2012-02-01,344.85
2012-03-01,347.05
2012-04-01,352.08
2012-05-01,356.62
2012-06-01,359.12
2012-07-01,356.36
2012-08-01,346.78
2012-09-01,345.3
2012-10-01,345.57
2012-11-01,338.32
2012-12-01,350.02
2013-01-01,360.12
2013-02-01,353.31
2013-03-01,357.66
2013-04-01,352.13
2013-05-01,351.77
2013-06-01,354.62
2013-07-01,352.8
2013-08-01,361.76
2013-09-01,351.56
2013-10-01,354.6
2013-11-01,362.73
2013-12-01,362.2
2014-01-01,359.22
2014-02-01,362.67
2014-03-01,366.2
2014-04-01,367.05
2014-05-01,370.28
2014-06-01,364.59
2014-07-01,368.31
2014-08-01,359.63
2014-09-01,359.06
2014-10-01,352.73
2014-11-01,352.41
2014-12-01,353.08
2015-01-01,358.33
2015-02-01,358.33
2015-03-01,358.33
2015-04-01,358.33
2015-05-01,358.33
2015-06-01,358.33
2015-07-01,358.33
2015-08-01,358.33
2015-09-01,358.33
2015-10-01,358.33
2015-11-01,358.33
2015-12-01,358.33
2016-01-01,375.0
2016-02-01,375.0
2016-03-01,350.0
2016-04-01,350.0
2016-05-01,375.0
2016-06-01,350.0
2016-07-01,350.0
2016-08-01,350.0
2016-09-01,350.0
2016-10-01,350.0
2016-11-01,375.0
2016-12-01,375.0
2017-01-01,375.0
2017-02-01,375.0
2017-03-01,358.33
2017-04-01,375.0
2017-05-01,375.0
2017-06-01,375.0
2017-07-01,358.33
2017-08-01,375.0
2017-09-01,375.0
2017-10-01,375.0
2017-11-01,366.67
2017-12-01,375.0
2018-01-01,400.0
2018-02-01,383.33
2018-03-01,358.33
2018-04-01,375.0
2018-05-01,391.67
2018-06-01,375.0
2018-07-01,366.67
2018-08-01,379.84
2018-09-01,375.0
2018-10-01,375.0
2018-11-01,383.33
2018-12-01,400.0
2019-01-01,400.0
2019-02-01,391.67
2019-03-01,375.0
2019-04-01,391.67
2019-05-01,400.0
2019-06-01,383.33
2019-07-01,383.33
2019-08-01,383.33
2019-09-01,391.67
2019-10-01,391.67
2019-11-01,400.0
2019-12-01,400.0
2020-01-01,400.0
2020-02-01,400.0
2020-03-01,421.26
2020-04-01,447.29
2020-05-01,472.2
2020-06-01,500.0
2020-07-01,500.0
2020-08-01,500.0
2020-09-01,498.67
2020-10-01,479.17
2020-11-01,467.5
2020-12-01,468.0
2021-01-01,466.67
2021-02-01,466.67
2021-03-01,467.33
2021-04-01,491.67
2021-05-01,501.25
2021-06-01,500.67
2021-07-01,500.0
2021-08-01,465.0
2021-09-01,503.62
2021-10-01,507.5
2021-11-01,517.5
2021-12-01,539.67
2022-01-01,553.33
2022-02-01,573.75
2022-03-01,577.08
2022-04-01,597.5
2022-05-01,600.0
2022-06-01,608.0
2022-07-01,606.67
2022-08-01,642.0
2022-09-01,645.0
2022-10-01,645.0
2022-11-01,650.0
2022-12-01,653.75
2023-01-01,655.0
2023-02-01,655.0
2023-03-01,659.0
2023-04-01,660.0
2023-05-01,656.0
2023-06-01,650.0
2023-07-01,650.0
2023-08-01,650.0
2023-09-01,650.0
2023-10-01,650.0
2023-11-01,650.0
2023-12-01,656.21
2024-01-01,650.0
2024-02-01,677.5
2024-03-01,686.67
2024-04-01,654.93
2024-05-01,630.67
2024-06-01,630.0
2024-07-01,637.0
2024-08-01,665.0
2024-09-01,665.0
2024-10-01,695.26
2024-11-01,695.12
2024-12-01,689.99
2025-01-01,696.47
2025-02-01,672.74
2025-03-01,654.71
2025-04-01,670.99
2025-05-01,644.73
2025-06-01,629.48
2025-07-01,641.08
2025-08-01,629.21
2025-09-01,640.11
2025-10-01,611.18
2025-11-01,600.73
2025-12-01,625.89
2026-01-01,611.1
2026-02-01,599.77
2026-03-01,580.58
2026-04-01,587.92
2026-05-01,595.66
2026-06-01,597.49
2026-07-01,599.4
