date,value
2007-01-01,376.81
2007-02-01,370.0
2007-03-01,369.46
2007-04-01,365.42
2007-05-01,362.89
2007-06-01,362.4
2007-07-01,361.56
2007-08-01,364.91
2007-09-01,364.55
2007-10-01,374.02
2007-11-01,370.57
2007-12-01,384.74
2008-01-01,408.32
2008-02-01,425.58
2008-03-01,433.65
2008-04-01,428.96
2008-05-01,414.9
2008-06-01,416.17
2008-07-01,427.21
2008-08-01,443.13
2008-09-01,453.13
2008-10-01,427.52
2008-11-01,433.98
2008-12-01,435.22
2009-01-01,435.66
2009-02-01,437.59
2009-03-01,427.85
2009-04-01,417.76
2009-05-01,401.63
2009-06-01,433.03
2009-07-01,409.91
2009-08-01,411.46
2009-09-01,412.66
2009-10-01,408.91
2009-11-01,407.02
2009-12-01,395.56
2010-01-01,394.04
2010-02-01,390.18
2010-03-01,387.46
2010-04-01,390.21
2010-05-01,395.9
2010-06-01,387.65
2010-07-01,390.58
2010-08-01,369.47
2010-09-01,361.85
2010-10-01,360.54
2010-11-01,361.27
2010-12-01,363.92
2011-01-01,363.57
2011-02-01,363.27
2011-03-01,363.71
2011-04-01,365.55
2011-05-01,363.14
2011-06-01,365.45
2011-07-01,368.94
2011-08-01,391.74
2011-09-01,372.69
2011-10-01,371.65
2011-11-01,371.35
2011-12-01,369.46
2012-01-01,367.22
2012-02-01,367.61
2012-03-01,366.0
2012-04-01,365.83
2012-05-01,366.36
2012-06-01,366.4
2012-07-01,367.52
2012-08-01,368.53
2012-09-01,367.33
2012-10-01,367.56
2012-11-01,364.39
2012-12-01,389.12
2013-01-01,371.71
2013-02-01,401.99
2013-03-01,412.9
2013-04-01,411.8
2013-05-01,404.09
2013-06-01,412.89
2013-07-01,407.14
2013-08-01,404.75
2013-09-01,421.8
2013-10-01,431.39
2013-11-01,435.26
2013-12-01,434.98
2014-01-01,431.33
2014-02-01,428.84
2014-03-01,438.66
2014-04-01,418.94
2014-05-01,389.8
2014-06-01,380.96
2014-07-01,379.4
2014-08-01,372.57
2014-09-01,373.09
2014-10-01,364.92
2014-11-01,358.35
2014-12-01,361.74
2015-01-01,350.13
2015-02-01,350.13
2015-03-01,350.13
2015-04-01,350.13
2015-05-01,350.13
2015-06-01,350.13
2015-07-01,350.13
2015-08-01,350.13
2015-09-01,350.13
2015-10-01,350.13
2015-11-01,350.13
2015-12-01,350.13
2016-01-01,350.13
2016-02-01,350.13
2016-03-01,350.13
2016-04-01,350.13
2016-05-01,350.13
2016-06-01,350.13
2016-07-01,350.13
2016-08-01,350.13
2016-09-01,350.13
2016-10-01,350.13
2016-11-01,350.13
2016-12-01,350.13
2017-01-01,350.13
2017-02-01,350.13
2017-03-01,350.13
2017-04-01,350.13
2017-05-01,350.13
2017-06-01,350.13
2017-07-01,350.13
2017-08-01,375.14
2017-09-01,375.14
2017-10-01,375.14
2017-11-01,375.14
2017-12-01,375.14
2018-01-01,375.0
2018-02-01,375.0
2018-03-01,375.0
2018-04-01,375.0
2018-05-01,375.0
2018-06-01,375.0
2018-07-01,375.0
2018-08-01,375.0
2018-09-01,375.0
2018-10-01,375.0
2018-11-01,375.0
2018-12-01,375.0
2019-01-01,375.0
2019-02-01,375.0
2019-03-01,375.0
2019-04-01,375.0
2019-05-01,375.0
2019-06-01,400.0
2019-07-01,400.0
2019-08-01,400.0
2019-09-01,400.0
2019-10-01,400.0
2019-11-01,400.0
2019-12-01,400.0
2020-01-01,383.33
2020-02-01,383.33
2020-03-01,391.67
2020-04-01,400.0
2020-05-01,400.0
2020-06-01,400.0
2020-07-01,400.0
2020-08-01,400.0
2020-09-01,405.0
2020-10-01,400.0
2020-11-01,400.0
2020-12-01,400.0
2021-01-01,400.0
2021-02-01,400.0
2021-03-01,400.0
2021-04-01,410.83
2021-05-01,427.92
2021-06-01,428.05
2021-07-01,426.67
2021-08-01,428.87
2021-09-01,430.33
2021-10-01,431.67
2021-11-01,438.33
2021-12-01,461.21
2022-01-01,487.73
2022-02-01,529.92
2022-03-01,560.43
2022-04-01,591.0
2022-05-01,609.51
2022-06-01,611.67
2022-07-01,611.67
2022-08-01,653.03
2022-09-01,690.0
2022-10-01,690.0
2022-11-01,692.67
2022-12-01,693.33
2023-01-01,693.33
2023-02-01,693.33
2023-03-01,693.33
2023-04-01,693.33
2023-05-01,681.33
2023-06-01,663.33
2023-07-01,663.33
2023-08-01,632.33
2023-09-01,610.0
2023-10-01,602.5
2023-11-01,600.0
2023-12-01,574.54
2024-01-01,550.0
2024-02-01,550.0
2024-03-01,512.5
2024-04-01,498.03
2024-05-01,484.47
2024-06-01,472.1
2024-07-01,460.0
2024-08-01,460.0
2024-09-01,460.0
2024-10-01,459.44
2024-11-01,442.01
2024-12-01,449.16
2025-01-01,459.38
2025-02-01,490.97
2025-03-01,483.6
2025-04-01,482.98
2025-05-01,479.48
2025-06-01,476.24
2025-07-01,478.77
2025-08-01,477.79
2025-09-01,476.08
2025-10-01,473.15
2025-11-01,459.77
2025-12-01,463.49
2026-01-01,463.36
2026-02-01,450.4
2026-03-01,454.39
2026-04-01,457.36
2026-05-01,472.0
2026-06-01,467.94
2026-07-01,469.29
