product,year,Export quantity (t),Export value (1000 USD),Food supply (kcal/capita/day) (kcal/cap/d),Food supply quantity (kg/capita/yr) (kg/cap),Import quantity (t),Import value (1000 USD),Production (t),Stock Variation (t),Yield (kg/ha),avg_price_XAF_per_kg_or_L
cocoyam,2007,,,,,,,1428568.0,,6493.5,126.195
cocoyam,2008,,,,,,,1481750.0,,10000.0,125.345
cocoyam,2009,,,,,,,1450000.0,,8285.7,134.74583333333334
cocoyam,2010,,,,,,,1470000.0,,7928.7,155.51916666666668
cocoyam,2011,,,,,,,1568804.0,,9585.5,154.56833333333333
cocoyam,2012,,,,,,,1614103.0,,9050.2,168.10833333333332
cocoyam,2013,,,,,,,1550973.0,,9589.8,177.54166666666666
cocoyam,2014,,,,,,,1697245.0,,7695.1,176.57500000000002
cocoyam,2015,,,,,,,1757249.0,,7468.3,212.64166666666665
cocoyam,2016,,,,,,,1838145.0,,7410.0,278.99916666666667
cocoyam,2017,,,,,,,1876041.9,,8430.0,282.68
cocoyam,2018,76.72,21.0,,,,,1793112.5,,7425.1,258.1925
cocoyam,2019,10.59,6.0,,,,,1755844.0,,7646.9,317.3566666666666
cocoyam,2020,19.94,13.0,,,,,1683770.8,,7723.1,398.94909090909096
cocoyam,2021,90.37,3.0,,,,,1779760.08,,7934.7,382.97
cocoyam,2022,101.02,3.0,,,,,1905331.7,,8001.1,394.94166666666666
cocoyam,2023,78.23,3.0,,,,,1919861.18,,7788.3,561.7624999999999
cocoyam,2024,7.31,11.0,,,,,1946969.89,,7771.2,533.3583333333333
cocoyam,2025,,,,,,,,,,688.79
cocoyam,2026,,,,,,,,,,622.56
