product,year,Export quantity (t),Export value (1000 USD),Food supply (kcal/capita/day) (kcal/cap/d),Food supply quantity (kg/capita/yr) (kg/cap),Import quantity (t),Import value (1000 USD),Production (t),Stock Variation (t),Yield (kg/ha),avg_price_XAF_per_kg_or_L
okra,2007,,,,,,,40552.0,,2700.0,
okra,2008,,,,,,,41585.0,,2700.0,
okra,2009,,,,,,,47169.0,,2533.0,
okra,2010,,,,,,,60384.0,,2515.6,
okra,2011,,,,,,,63533.0,,1984.2,
okra,2012,,,,,,,69060.0,,2345.2,
okra,2013,,,,,,,75284.0,,2532.9,
okra,2014,,,,,,,75960.0,,2642.1,
okra,2015,,,,,,,77935.0,,2640.6,
okra,2016,,,,,,,78763.0,,2359.8,
okra,2017,,,,,,,69060.0,,2260.8,
okra,2018,,,,,,,75252.67,,2416.1,
okra,2019,,,,,,,74358.56,,2427.3,
okra,2020,,,,,,,76052.2,,2493.4,
okra,2021,,,,,,,75221.14,,2420.2,
okra,2022,,,,,,,75210.63,,2382.6,
okra,2023,,,,,,,75494.66,,2374.6,
okra,2024,,,,,,,75308.81,,2352.3,
