date,xaf_per_usd
2005-01-01,494.2869
2005-02-01,503.7429
2005-03-01,497.729
2005-04-01,508.389
2005-05-01,518.9293
2005-06-01,538.8234
2005-07-01,545.2789
2005-08-01,533.9407
2005-09-01,535.0647
2005-10-01,545.5829
2005-11-01,555.1922
2005-12-01,553.3688
2006-01-01,542.6463
2006-02-01,549.9456
2006-03-01,546.6432
2006-04-01,535.2062
2006-05-01,513.4448
2006-06-01,519.8418
2006-07-01,516.6957
2006-08-01,511.4309
2006-09-01,515.1562
2006-10-01,520.0362
2006-11-01,509.0427
2006-12-01,497.1547
2007-01-01,504.9361
2007-02-01,501.7374
2007-03-01,494.9582
2007-04-01,484.4741
2007-05-01,485.9149
2007-06-01,488.1653
2007-07-01,477.4465
2007-08-01,480.8496
2007-09-01,472.1993
2007-10-01,461.7366
2007-11-01,446.8869
2007-12-01,449.8656
2008-01-01,445.3919
2008-02-01,444.9296
2008-03-01,422.3577
2008-04-01,416.1371
2008-05-01,421.7671
2008-06-01,421.9721
2008-07-01,416.7099
2008-08-01,438.7963
2008-09-01,455.2254
2008-10-01,493.4798
2008-11-01,514.9399
2008-12-01,481.855
2009-01-01,496.004
2009-02-01,513.0249
2009-03-01,503.9967
2009-04-01,497.7441
2009-05-01,481.2658
2009-06-01,467.7972
2009-07-01,466.085
2009-08-01,459.6899
2009-09-01,450.2007
2009-10-01,442.1926
2009-11-01,440.0186
2009-12-01,449.749
2010-01-01,459.9772
2010-02-01,478.7559
2010-03-01,481.6985
2010-04-01,488.6824
2010-05-01,521.9272
2010-06-01,536.8763
2010-07-01,512.4665
2010-08-01,508.5239
2010-09-01,502.1967
2010-10-01,472.3687
2010-11-01,480.4435
2010-12-01,496.0357
2011-01-01,489.9842
2011-02-01,479.6279
2011-03-01,469.281
2011-04-01,454.0333
2011-05-01,456.9879
2011-06-01,456.0306
2011-07-01,461.0175
2011-08-01,456.8279
2011-09-01,476.8377
2011-10-01,478.7905
2011-11-01,484.2309
2011-12-01,498.3161
2012-01-01,506.9329
2012-02-01,495.8721
2012-03-01,496.9728
2012-04-01,499.3602
2012-05-01,513.0623
2012-06-01,523.569
2012-07-01,534.5569
2012-08-01,528.754
2012-09-01,510.401
2012-10-01,505.0043
2012-11-01,511.7238
2012-12-01,500.91
2013-01-01,493.4157
2013-02-01,491.266
2013-03-01,506.6143
2013-04-01,503.335
2013-05-01,505.3793
2013-06-01,497.6824
2013-07-01,500.9664
2013-08-01,492.6564
2013-09-01,490.8164
2013-10-01,480.0741
2013-11-01,485.6513
2013-12-01,478.4923
2014-01-01,481.8823
2014-02-01,481.5424
2014-03-01,474.761
2014-04-01,475.6288
2014-05-01,482.6488
2014-06-01,482.2865
2014-07-01,484.0884
2014-08-01,492.9063
2014-09-01,507.9149
2014-10-01,518.9159
2014-11-01,526.0171
2014-12-01,532.2982
2015-01-01,564.7205
2015-02-01,578.0951
2015-03-01,604.9132
2015-04-01,608.286
2015-05-01,587.5684
2015-06-01,584.5457
2015-07-01,597.3398
2015-08-01,589.1307
2015-09-01,584.802
2015-10-01,582.864
2015-11-01,611.2369
2015-12-01,602.1566
2016-01-01,604.7168
2016-02-01,591.2463
2016-03-01,590.3857
2016-04-01,578.4839
2016-05-01,579.7047
2016-06-01,584.7871
2016-07-01,592.9464
2016-08-01,585.1339
2016-09-01,585.3852
2016-10-01,596.2396
2016-11-01,607.505
2016-12-01,622.8072
2017-01-01,618.3082
2017-02-01,615.1257
2017-03-01,614.3495
2017-04-01,612.0391
2017-05-01,593.3957
2017-06-01,584.7537
2017-07-01,570.0403
2017-08-01,555.4052
2017-09-01,549.8506
2017-10-01,557.2292
2017-11-01,557.7663
2017-12-01,554.0651
2018-01-01,537.9529
2018-02-01,531.3096
2018-03-01,531.603
2018-04-01,534.2285
2018-05-01,554.9718
2018-06-01,561.6882
2018-07-01,561.9033
2018-08-01,567.8506
2018-09-01,562.1797
2018-10-01,571.5424
2018-11-01,577.5959
2018-12-01,577.033
2019-01-01,574.4536
2019-02-01,578.4371
2019-03-01,580.2088
2019-04-01,582.9882
2019-05-01,588.0573
2019-06-01,580.8716
2019-07-01,584.4723
2019-08-01,589.9781
2019-09-01,595.9823
2019-10-01,593.6796
2019-11-01,594.1179
2019-12-01,589.8303
2020-01-01,591.0246
2020-02-01,602.0216
2020-03-01,592.5754
2020-04-01,603.0094
2020-05-01,601.8099
2020-06-01,582.2557
2020-07-01,572.6235
2020-08-01,554.0316
2020-09-01,555.4451
2020-10-01,556.725
2020-11-01,553.8398
2020-12-01,538.5235
2021-01-01,538.6506
2021-02-01,541.929
2021-03-01,550.9089
2021-04-01,547.2282
2021-05-01,539.215
2021-06-01,544.506
2021-07-01,554.6453
2021-08-01,557.0159
2021-09-01,556.7804
2021-10-01,565.7354
2021-11-01,574.408
2021-12-01,580.7196
2022-01-01,579.7793
2022-02-01,577.9796
2022-03-01,595.234
2022-04-01,606.7175
2022-05-01,619.5119
2022-06-01,620.6778
2022-07-01,644.7191
2022-08-01,647.6098
2022-09-01,662.8323
2022-10-01,668.0925
2022-11-01,643.5254
2022-12-01,618.5735
2023-01-01,608.5784
2023-02-01,612.1544
2023-03-01,612.9238
2023-04-01,597.722
2023-05-01,603.6294
2023-06-01,605.9538
2023-07-01,593.1586
2023-08-01,601.1238
2023-09-01,614.4674
2023-10-01,621.0202
2023-11-01,607.0613
2023-12-01,601.418
2024-01-01,601.8653
2024-02-01,607.6898
2024-03-01,603.2329
2024-04-01,611.5759
2024-05-01,606.114
2024-06-01,609.506
2024-07-01,604.8498
2024-08-01,596.0106
2024-09-01,590.854
2024-10-01,601.4672
2024-11-01,617.4871
2024-12-01,625.9415
2025-01-01,632.8387
2025-02-01,630.2723
2025-03-01,606.9468
2025-04-01,583.8708
2025-05-01,582.6447
2025-06-01,569.6816
2025-07-01,561.8292
2025-08-01,562.1499
2025-09-01,559.0527
2025-10-01,564.1255
2025-11-01,567.4173
2025-12-01,560.233
2026-01-01,559.6021
