commodity,year,months_covered,partial_year,avg_predicted_price,avg_lower_80,avg_upper_80,min_predicted_price,max_predicted_price
bananas,2026,5,True,2580.21,2346.35,3024.21,2560.44,2610.64
bananas,2027,7,True,2586.66,2308.74,3045.34,2551.22,2608.04
beans_fao,2026,5,True,1100.74,1040.99,1182.36,1061.52,1129.0
beans_fao,2027,7,True,1102.65,1094.24,1348.59,927.58,1169.29
cassava_fao,2026,5,True,284.51,242.17,418.42,272.09,301.41
cassava_fao,2027,7,True,287.7,239.56,428.1,275.9,294.1
cocoyam_fao,2026,5,True,744.57,654.15,831.92,680.71,773.74
cocoyam_fao,2027,7,True,810.5,714.3,935.35,782.72,838.81
maize,2026,5,True,181.62,94.37,229.66,144.47,228.83
maize,2027,7,True,188.75,82.79,240.96,149.6,204.58
oil,2026,5,True,974.34,885.52,1313.0,963.03,1003.59
oil,2027,7,True,974.65,877.82,1327.43,951.53,1014.19
plantains_fao,2026,5,True,535.77,498.74,579.27,534.07,539.45
plantains_fao,2027,7,True,552.76,516.73,613.73,529.93,582.15
potatoes_fao,2026,5,True,484.21,445.9,525.06,412.89,528.97
potatoes_fao,2027,7,True,512.33,473.03,539.54,487.65,550.98
rice,2026,5,True,595.73,550.36,639.69,592.12,598.69
rice,2027,7,True,593.68,574.15,703.2,580.58,599.77
wheat_flour,2026,5,True,463.48,436.92,537.62,460.57,466.12
wheat_flour,2027,7,True,470.57,376.37,652.54,468.44,472.61
bananas,2026,3,True,2644.32,2460.16,2883.94,2604.76,2685.7
beans_fao,2026,3,True,1083.06,1015.69,1168.93,1061.52,1111.19
cassava_fao,2026,3,True,305.65,275.92,333.66,298.52,312.79
cocoyam_fao,2026,3,True,728.08,646.21,826.3,680.71,756.1
maize,2026,3,True,202.75,130.64,249.09,178.98,228.83
oil,2026,3,True,944.74,886.84,1190.73,940.29,951.64
plantains_fao,2026,3,True,536.07,497.93,574.15,534.07,539.45
potatoes_fao,2026,3,True,454.46,415.05,475.36,412.89,484.77
rice,2026,3,True,595.95,571.23,638.23,595.04,596.64
wheat_flour,2026,3,True,465.34,446.33,538.81,464.26,466.12
bananas,2026,3,True,2630.33,2446.13,2869.34,2591.93,2670.31
beans_fao,2026,3,True,1075.42,1004.34,1146.21,1058.68,1100.54
cassava_fao,2026,3,True,301.14,272.92,333.23,294.9,307.58
cocoyam_fao,2026,3,True,728.75,640.03,821.43,682.73,756.1
maize,2026,3,True,203.64,130.19,249.49,178.98,228.83
oil,2026,3,True,945.71,886.04,1192.62,940.59,953.12
plantains_fao,2026,3,True,552.79,515.16,600.19,525.26,602.3
potatoes_fao,2026,3,True,424.23,384.97,446.95,394.07,465.73
rice,2026,3,True,585.43,560.53,629.73,584.51,587.1
wheat_flour,2026,3,True,461.1,440.51,524.3,459.1,462.68
bananas,2026,3,True,2644.32,2460.16,2883.94,2604.76,2685.7
beans_fao,2026,3,True,1083.06,1015.69,1168.93,1061.52,1111.19
cassava_fao,2026,3,True,305.65,275.92,333.66,298.52,312.79
cocoyam_fao,2026,3,True,728.08,646.21,826.3,680.71,756.1
maize,2026,3,True,203.64,130.19,249.49,178.98,228.83
oil,2026,3,True,945.71,886.04,1192.62,940.59,953.12
plantains_fao,2026,3,True,536.07,497.93,574.15,534.07,539.45
potatoes_fao,2026,3,True,454.46,415.05,475.36,412.89,484.77
rice,2026,3,True,585.43,560.53,629.73,584.51,587.1
wheat_flour,2026,3,True,461.1,440.51,524.3,459.1,462.68
bananas,2026,3,True,2644.32,2460.16,2883.94,2604.76,2685.7
beans_fao,2026,3,True,1083.06,1015.69,1168.93,1061.52,1111.19
cassava_fao,2026,3,True,305.65,275.92,333.66,298.52,312.79
cocoyam_fao,2026,3,True,728.08,646.21,826.3,680.71,756.1
maize,2026,3,True,203.64,130.19,249.49,178.98,228.83
oil,2026,3,True,945.71,886.04,1192.62,940.59,953.12
plantains_fao,2026,3,True,536.07,497.93,574.15,534.07,539.45
potatoes_fao,2026,3,True,454.46,415.05,475.36,412.89,484.77
rice,2026,3,True,585.43,560.53,629.73,584.51,587.1
wheat_flour,2026,3,True,461.1,440.51,524.3,459.1,462.68
bananas,2026,3,True,2644.32,2460.16,2883.94,2604.76,2685.7
beans_fao,2026,3,True,1083.06,1015.69,1168.93,1061.52,1111.19
cassava_fao,2026,3,True,305.65,275.92,333.66,298.52,312.79
cocoyam_fao,2026,3,True,728.08,646.21,826.3,680.71,756.1
maize,2026,3,True,203.64,130.19,249.49,178.98,228.83
oil,2026,3,True,945.71,886.04,1192.62,940.59,953.12
plantains_fao,2026,3,True,536.07,497.93,574.15,534.07,539.45
potatoes_fao,2026,3,True,454.46,415.05,475.36,412.89,484.77
rice,2026,3,True,585.43,560.53,629.73,584.51,587.1
wheat_flour,2026,3,True,461.1,440.51,524.3,459.1,462.68
bananas,2026,3,True,2644.32,2460.16,2883.94,2604.76,2685.7
beans_fao,2026,3,True,1083.06,1015.69,1168.93,1061.52,1111.19
cassava_fao,2026,3,True,305.65,275.92,333.66,298.52,312.79
cocoyam_fao,2026,3,True,728.08,646.21,826.3,680.71,756.1
maize,2026,3,True,203.64,130.19,249.49,178.98,228.83
oil,2026,3,True,945.71,886.04,1192.62,940.59,953.12
plantains_fao,2026,3,True,536.07,497.93,574.15,534.07,539.45
potatoes_fao,2026,3,True,454.46,415.05,475.36,412.89,484.77
rice,2026,3,True,585.43,560.53,629.73,584.51,587.1
wheat_flour,2026,3,True,461.1,440.51,524.3,459.1,462.68
bananas,2026,3,True,2644.32,2460.16,2883.94,2604.76,2685.7
beans_fao,2026,3,True,1083.06,1015.69,1168.93,1061.52,1111.19
cassava_fao,2026,3,True,305.65,275.92,333.66,298.52,312.79
cocoyam_fao,2026,3,True,728.08,646.21,826.3,680.71,756.1
maize,2026,3,True,203.64,130.19,249.49,178.98,228.83
oil,2026,3,True,945.71,886.04,1192.62,940.59,953.12
plantains_fao,2026,3,True,536.07,497.93,574.15,534.07,539.45
potatoes_fao,2026,3,True,454.46,415.05,475.36,412.89,484.77
rice,2026,3,True,585.43,560.53,629.73,584.51,587.1
wheat_flour,2026,3,True,461.1,440.51,524.3,459.1,462.68
bananas,2026,3,True,2644.32,2460.16,2883.94,2604.76,2685.7
beans_fao,2026,3,True,1083.06,1015.69,1168.93,1061.52,1111.19
cassava_fao,2026,3,True,305.65,275.92,333.66,298.52,312.79
cocoyam_fao,2026,3,True,728.08,646.21,826.3,680.71,756.1
maize,2026,3,True,203.64,130.19,249.49,178.98,228.83
oil,2026,3,True,945.71,886.04,1192.62,940.59,953.12
plantains_fao,2026,3,True,536.07,497.93,574.15,534.07,539.45
potatoes_fao,2026,3,True,454.46,415.05,475.36,412.89,484.77
rice,2026,3,True,585.43,560.53,629.73,584.51,587.1
wheat_flour,2026,3,True,461.1,440.51,524.3,459.1,462.68
