date,predicted_price,lower_80,upper_80,monthly_forecast_date,selected_model,view_frequency,source_frequency,reason,confidence_score_percent,interval_confidence_percent
2026-08-01,2604.76,2492.42,2807.21,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (0.1% difference). The selected model was most influenced by the most recent price, the same period last year, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",75.9,80
2026-08-02,2604.76,2492.42,2807.21,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (0.1% difference). The selected model was most influenced by the most recent price, the same period last year, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",75.9,80
2026-08-03,2604.76,2492.42,2807.21,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (0.1% difference). The selected model was most influenced by the most recent price, the same period last year, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",75.9,80
2026-08-04,2604.76,2492.42,2807.21,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (0.1% difference). The selected model was most influenced by the most recent price, the same period last year, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",75.9,80
2026-08-05,2604.76,2492.42,2807.21,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (0.1% difference). The selected model was most influenced by the most recent price, the same period last year, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",75.9,80
2026-08-06,2604.76,2492.42,2807.21,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (0.1% difference). The selected model was most influenced by the most recent price, the same period last year, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",75.9,80
2026-08-07,2604.76,2492.42,2807.21,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (0.1% difference). The selected model was most influenced by the most recent price, the same period last year, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",75.9,80
2026-08-08,2604.76,2492.42,2807.21,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (0.1% difference). The selected model was most influenced by the most recent price, the same period last year, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",75.9,80
2026-08-09,2604.76,2492.42,2807.21,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (0.1% difference). The selected model was most influenced by the most recent price, the same period last year, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",75.9,80
2026-08-10,2604.76,2492.42,2807.21,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (0.1% difference). The selected model was most influenced by the most recent price, the same period last year, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",75.9,80
2026-08-11,2604.76,2492.42,2807.21,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (0.1% difference). The selected model was most influenced by the most recent price, the same period last year, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",75.9,80
2026-08-12,2604.76,2492.42,2807.21,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (0.1% difference). The selected model was most influenced by the most recent price, the same period last year, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",75.9,80
2026-08-13,2604.76,2492.42,2807.21,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (0.1% difference). The selected model was most influenced by the most recent price, the same period last year, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",75.9,80
2026-08-14,2604.76,2492.42,2807.21,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (0.1% difference). The selected model was most influenced by the most recent price, the same period last year, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",75.9,80
2026-08-15,2604.76,2492.42,2807.21,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (0.1% difference). The selected model was most influenced by the most recent price, the same period last year, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",75.9,80
2026-08-16,2604.76,2492.42,2807.21,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (0.1% difference). The selected model was most influenced by the most recent price, the same period last year, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",75.9,80
2026-08-17,2604.76,2492.42,2807.21,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (0.1% difference). The selected model was most influenced by the most recent price, the same period last year, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",75.9,80
2026-08-18,2604.76,2492.42,2807.21,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (0.1% difference). The selected model was most influenced by the most recent price, the same period last year, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",75.9,80
2026-08-19,2604.76,2492.42,2807.21,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (0.1% difference). The selected model was most influenced by the most recent price, the same period last year, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",75.9,80
2026-08-20,2604.76,2492.42,2807.21,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (0.1% difference). The selected model was most influenced by the most recent price, the same period last year, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",75.9,80
