week_start,predicted_price,lower_80,upper_80,days_covered,view_frequency,source_frequency,reason,confidence_score_percent,interval_confidence_percent
2026-07-27,2604.76,2492.42,2807.21,2,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,85.4,80
2026-08-03,2604.7599999999998,2492.4200000000005,2807.21,7,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,85.4,80
2026-08-10,2604.7599999999998,2492.4200000000005,2807.21,7,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,85.4,80
2026-08-17,2604.7599999999998,2492.4200000000005,2807.21,7,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,85.4,80
2026-08-24,2604.7599999999998,2492.4200000000005,2807.21,7,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,85.4,80
2026-08-31,2637.0999999999995,2479.7085714285713,2872.0528571428576,7,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,84.5,80
2026-09-07,2642.4900000000002,2477.59,2882.86,7,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,84.3,80
2026-09-14,2642.4900000000002,2477.59,2882.86,7,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,84.3,80
2026-09-21,2642.4900000000002,2477.59,2882.86,7,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,84.3,80
2026-09-28,2667.181428571428,2439.23,2927.94,7,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,83.4,80
2026-10-05,2685.7,2410.46,2961.75,7,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,82.7,80
2026-10-12,2685.7,2410.46,2961.75,7,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,82.7,80
2026-10-19,2685.7,2410.46,2961.75,7,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,82.7,80
2026-10-26,2685.7,2410.46,2961.75,6,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,82.7,80
