date,predicted_price,lower_80,upper_80,monthly_forecast_date,selected_model,view_frequency,source_frequency,reason,confidence_score_percent,interval_confidence_percent
2026-08-01,1061.52,1001.22,1139.74,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (0.8% difference). The selected model was most influenced by the most recent price, diesel prices, the recent three-month average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",74.3,80
2026-08-02,1061.52,1001.22,1139.74,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (0.8% difference). The selected model was most influenced by the most recent price, diesel prices, the recent three-month average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",74.3,80
2026-08-03,1061.52,1001.22,1139.74,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (0.8% difference). The selected model was most influenced by the most recent price, diesel prices, the recent three-month average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",74.3,80
2026-08-04,1061.52,1001.22,1139.74,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (0.8% difference). The selected model was most influenced by the most recent price, diesel prices, the recent three-month average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",74.3,80
2026-08-05,1061.52,1001.22,1139.74,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (0.8% difference). The selected model was most influenced by the most recent price, diesel prices, the recent three-month average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",74.3,80
2026-08-06,1061.52,1001.22,1139.74,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (0.8% difference). The selected model was most influenced by the most recent price, diesel prices, the recent three-month average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",74.3,80
2026-08-07,1061.52,1001.22,1139.74,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (0.8% difference). The selected model was most influenced by the most recent price, diesel prices, the recent three-month average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",74.3,80
2026-08-08,1061.52,1001.22,1139.74,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (0.8% difference). The selected model was most influenced by the most recent price, diesel prices, the recent three-month average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",74.3,80
2026-08-09,1061.52,1001.22,1139.74,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (0.8% difference). The selected model was most influenced by the most recent price, diesel prices, the recent three-month average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",74.3,80
2026-08-10,1061.52,1001.22,1139.74,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (0.8% difference). The selected model was most influenced by the most recent price, diesel prices, the recent three-month average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",74.3,80
2026-08-11,1061.52,1001.22,1139.74,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (0.8% difference). The selected model was most influenced by the most recent price, diesel prices, the recent three-month average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",74.3,80
2026-08-12,1061.52,1001.22,1139.74,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (0.8% difference). The selected model was most influenced by the most recent price, diesel prices, the recent three-month average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",74.3,80
2026-08-13,1061.52,1001.22,1139.74,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (0.8% difference). The selected model was most influenced by the most recent price, diesel prices, the recent three-month average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",74.3,80
2026-08-14,1061.52,1001.22,1139.74,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (0.8% difference). The selected model was most influenced by the most recent price, diesel prices, the recent three-month average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",74.3,80
2026-08-15,1061.52,1001.22,1139.74,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (0.8% difference). The selected model was most influenced by the most recent price, diesel prices, the recent three-month average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",74.3,80
2026-08-16,1061.52,1001.22,1139.74,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (0.8% difference). The selected model was most influenced by the most recent price, diesel prices, the recent three-month average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",74.3,80
2026-08-17,1061.52,1001.22,1139.74,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (0.8% difference). The selected model was most influenced by the most recent price, diesel prices, the recent three-month average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",74.3,80
2026-08-18,1061.52,1001.22,1139.74,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (0.8% difference). The selected model was most influenced by the most recent price, diesel prices, the recent three-month average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",74.3,80
2026-08-19,1061.52,1001.22,1139.74,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (0.8% difference). The selected model was most influenced by the most recent price, diesel prices, the recent three-month average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",74.3,80
2026-08-20,1061.52,1001.22,1139.74,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (0.8% difference). The selected model was most influenced by the most recent price, diesel prices, the recent three-month average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",74.3,80
2026-08-21,1061.52,1001.22,1139.74,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (0.8% difference). The selected model was most influenced by the most recent price, diesel prices, the recent three-month average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",74.3,80
2026-08-22,1061.52,1001.22,1139.74,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (0.8% difference). The selected model was most influenced by the most recent price, diesel prices, the recent three-month average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",74.3,80
2026-08-23,1061.52,1001.22,1139.74,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (0.8% difference). The selected model was most influenced by the most recent price, diesel prices, the recent three-month average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",74.3,80
2026-08-24,1061.52,1001.22,1139.74,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (0.8% difference). The selected model was most influenced by the most recent price, diesel prices, the recent three-month average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",74.3,80
2026-08-25,1061.52,1001.22,1139.74,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (0.8% difference). The selected model was most influenced by the most recent price, diesel prices, the recent three-month average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",74.3,80
2026-08-26,1061.52,1001.22,1139.74,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (0.8% difference). The selected model was most influenced by the most recent price, diesel prices, the recent three-month average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",74.3,80
2026-08-27,1061.52,1001.22,1139.74,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (0.8% difference). The selected model was most influenced by the most recent price, diesel prices, the recent three-month average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",74.3,80
2026-08-28,1061.52,1001.22,1139.74,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (0.8% difference). The selected model was most influenced by the most recent price, diesel prices, the recent three-month average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",74.3,80
2026-08-29,1061.52,1001.22,1139.74,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (0.8% difference). The selected model was most influenced by the most recent price, diesel prices, the recent three-month average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",74.3,80
2026-08-30,1061.52,1001.22,1139.74,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (0.8% difference). The selected model was most influenced by the most recent price, diesel prices, the recent three-month average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",74.3,80
2026-08-31,1061.52,1001.22,1139.74,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (0.8% difference). The selected model was most influenced by the most recent price, diesel prices, the recent three-month average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",74.3,80
2026-09-01,1076.47,998.25,1178.97,2026-09-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (2.2% difference). The selected model was most influenced by diesel prices, petrol prices, the most recent price. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",73.2,80
2026-09-02,1076.47,998.25,1178.97,2026-09-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (2.2% difference). The selected model was most influenced by diesel prices, petrol prices, the most recent price. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",73.2,80
2026-09-03,1076.47,998.25,1178.97,2026-09-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (2.2% difference). The selected model was most influenced by diesel prices, petrol prices, the most recent price. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",73.2,80
2026-09-04,1076.47,998.25,1178.97,2026-09-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (2.2% difference). The selected model was most influenced by diesel prices, petrol prices, the most recent price. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",73.2,80
2026-09-05,1076.47,998.25,1178.97,2026-09-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (2.2% difference). The selected model was most influenced by diesel prices, petrol prices, the most recent price. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",73.2,80
2026-09-06,1076.47,998.25,1178.97,2026-09-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (2.2% difference). The selected model was most influenced by diesel prices, petrol prices, the most recent price. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",73.2,80
2026-09-07,1076.47,998.25,1178.97,2026-09-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (2.2% difference). The selected model was most influenced by diesel prices, petrol prices, the most recent price. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",73.2,80
2026-09-08,1076.47,998.25,1178.97,2026-09-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (2.2% difference). The selected model was most influenced by diesel prices, petrol prices, the most recent price. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",73.2,80
2026-09-09,1076.47,998.25,1178.97,2026-09-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (2.2% difference). The selected model was most influenced by diesel prices, petrol prices, the most recent price. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",73.2,80
2026-09-10,1076.47,998.25,1178.97,2026-09-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (2.2% difference). The selected model was most influenced by diesel prices, petrol prices, the most recent price. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",73.2,80
2026-09-11,1076.47,998.25,1178.97,2026-09-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (2.2% difference). The selected model was most influenced by diesel prices, petrol prices, the most recent price. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",73.2,80
2026-09-12,1076.47,998.25,1178.97,2026-09-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (2.2% difference). The selected model was most influenced by diesel prices, petrol prices, the most recent price. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",73.2,80
2026-09-13,1076.47,998.25,1178.97,2026-09-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (2.2% difference). The selected model was most influenced by diesel prices, petrol prices, the most recent price. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",73.2,80
2026-09-14,1076.47,998.25,1178.97,2026-09-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (2.2% difference). The selected model was most influenced by diesel prices, petrol prices, the most recent price. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",73.2,80
2026-09-15,1076.47,998.25,1178.97,2026-09-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (2.2% difference). The selected model was most influenced by diesel prices, petrol prices, the most recent price. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",73.2,80
2026-09-16,1076.47,998.25,1178.97,2026-09-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (2.2% difference). The selected model was most influenced by diesel prices, petrol prices, the most recent price. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",73.2,80
2026-09-17,1076.47,998.25,1178.97,2026-09-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (2.2% difference). The selected model was most influenced by diesel prices, petrol prices, the most recent price. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",73.2,80
2026-09-18,1076.47,998.25,1178.97,2026-09-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (2.2% difference). The selected model was most influenced by diesel prices, petrol prices, the most recent price. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",73.2,80
2026-09-19,1076.47,998.25,1178.97,2026-09-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (2.2% difference). The selected model was most influenced by diesel prices, petrol prices, the most recent price. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",73.2,80
2026-09-20,1076.47,998.25,1178.97,2026-09-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (2.2% difference). The selected model was most influenced by diesel prices, petrol prices, the most recent price. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",73.2,80
2026-09-21,1076.47,998.25,1178.97,2026-09-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (2.2% difference). The selected model was most influenced by diesel prices, petrol prices, the most recent price. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",73.2,80
2026-09-22,1076.47,998.25,1178.97,2026-09-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (2.2% difference). The selected model was most influenced by diesel prices, petrol prices, the most recent price. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",73.2,80
2026-09-23,1076.47,998.25,1178.97,2026-09-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (2.2% difference). The selected model was most influenced by diesel prices, petrol prices, the most recent price. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",73.2,80
2026-09-24,1076.47,998.25,1178.97,2026-09-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (2.2% difference). The selected model was most influenced by diesel prices, petrol prices, the most recent price. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",73.2,80
2026-09-25,1076.47,998.25,1178.97,2026-09-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (2.2% difference). The selected model was most influenced by diesel prices, petrol prices, the most recent price. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",73.2,80
2026-09-26,1076.47,998.25,1178.97,2026-09-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (2.2% difference). The selected model was most influenced by diesel prices, petrol prices, the most recent price. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",73.2,80
2026-09-27,1076.47,998.25,1178.97,2026-09-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (2.2% difference). The selected model was most influenced by diesel prices, petrol prices, the most recent price. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",73.2,80
2026-09-28,1076.47,998.25,1178.97,2026-09-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (2.2% difference). The selected model was most influenced by diesel prices, petrol prices, the most recent price. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",73.2,80
