week_start,predicted_price,lower_80,upper_80,days_covered,view_frequency,source_frequency,reason,confidence_score_percent,interval_confidence_percent
2026-07-27,1061.52,1001.22,1139.74,2,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,83.5,80
2026-08-03,1061.52,1001.22,1139.74,7,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,83.5,80
2026-08-10,1061.52,1001.22,1139.74,7,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,83.5,80
2026-08-17,1061.52,1001.22,1139.74,7,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,83.5,80
2026-08-24,1061.52,1001.22,1139.74,7,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,83.5,80
2026-08-31,1074.3342857142857,998.6742857142857,1173.3657142857141,7,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,82.5,80
2026-09-07,1076.47,998.25,1178.97,7,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,82.4,80
2026-09-14,1076.47,998.25,1178.97,7,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,82.4,80
2026-09-21,1076.47,998.25,1178.97,7,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,82.4,80
2026-09-28,1096.31,1026.4557142857143,1184.1757142857143,7,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,83.1,80
2026-10-05,1111.19,1047.61,1188.08,7,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,83.7,80
2026-10-12,1111.19,1047.61,1188.08,7,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,83.7,80
2026-10-19,1111.19,1047.61,1188.08,7,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,83.7,80
2026-10-26,1111.19,1047.61,1188.08,6,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,83.7,80
