date,predicted_price,lower_80,upper_80,monthly_forecast_date,selected_model,view_frequency,source_frequency,reason,confidence_score_percent,interval_confidence_percent
2026-08-01,298.52,278.14,321.11,2026-08-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (2.0% difference). The selected model was most influenced by petrol prices, diesel prices, the long-term time trend. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",71.5,80
2026-08-02,298.52,278.14,321.11,2026-08-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (2.0% difference). The selected model was most influenced by petrol prices, diesel prices, the long-term time trend. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",71.5,80
2026-08-03,298.52,278.14,321.11,2026-08-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (2.0% difference). The selected model was most influenced by petrol prices, diesel prices, the long-term time trend. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",71.5,80
2026-08-04,298.52,278.14,321.11,2026-08-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (2.0% difference). The selected model was most influenced by petrol prices, diesel prices, the long-term time trend. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",71.5,80
2026-08-05,298.52,278.14,321.11,2026-08-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (2.0% difference). The selected model was most influenced by petrol prices, diesel prices, the long-term time trend. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",71.5,80
2026-08-06,298.52,278.14,321.11,2026-08-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (2.0% difference). The selected model was most influenced by petrol prices, diesel prices, the long-term time trend. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",71.5,80
2026-08-07,298.52,278.14,321.11,2026-08-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (2.0% difference). The selected model was most influenced by petrol prices, diesel prices, the long-term time trend. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",71.5,80
2026-08-08,298.52,278.14,321.11,2026-08-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (2.0% difference). The selected model was most influenced by petrol prices, diesel prices, the long-term time trend. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",71.5,80
2026-08-09,298.52,278.14,321.11,2026-08-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (2.0% difference). The selected model was most influenced by petrol prices, diesel prices, the long-term time trend. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",71.5,80
2026-08-10,298.52,278.14,321.11,2026-08-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (2.0% difference). The selected model was most influenced by petrol prices, diesel prices, the long-term time trend. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",71.5,80
2026-08-11,298.52,278.14,321.11,2026-08-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (2.0% difference). The selected model was most influenced by petrol prices, diesel prices, the long-term time trend. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",71.5,80
2026-08-12,298.52,278.14,321.11,2026-08-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (2.0% difference). The selected model was most influenced by petrol prices, diesel prices, the long-term time trend. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",71.5,80
2026-08-13,298.52,278.14,321.11,2026-08-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (2.0% difference). The selected model was most influenced by petrol prices, diesel prices, the long-term time trend. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",71.5,80
2026-08-14,298.52,278.14,321.11,2026-08-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (2.0% difference). The selected model was most influenced by petrol prices, diesel prices, the long-term time trend. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",71.5,80
2026-08-15,298.52,278.14,321.11,2026-08-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (2.0% difference). The selected model was most influenced by petrol prices, diesel prices, the long-term time trend. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",71.5,80
2026-08-16,298.52,278.14,321.11,2026-08-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (2.0% difference). The selected model was most influenced by petrol prices, diesel prices, the long-term time trend. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",71.5,80
2026-08-17,298.52,278.14,321.11,2026-08-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (2.0% difference). The selected model was most influenced by petrol prices, diesel prices, the long-term time trend. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",71.5,80
2026-08-18,298.52,278.14,321.11,2026-08-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (2.0% difference). The selected model was most influenced by petrol prices, diesel prices, the long-term time trend. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",71.5,80
2026-08-19,298.52,278.14,321.11,2026-08-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (2.0% difference). The selected model was most influenced by petrol prices, diesel prices, the long-term time trend. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",71.5,80
2026-08-20,298.52,278.14,321.11,2026-08-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (2.0% difference). The selected model was most influenced by petrol prices, diesel prices, the long-term time trend. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",71.5,80
2026-08-21,298.52,278.14,321.11,2026-08-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (2.0% difference). The selected model was most influenced by petrol prices, diesel prices, the long-term time trend. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",71.5,80
2026-08-22,298.52,278.14,321.11,2026-08-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (2.0% difference). The selected model was most influenced by petrol prices, diesel prices, the long-term time trend. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",71.5,80
2026-08-23,298.52,278.14,321.11,2026-08-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (2.0% difference). The selected model was most influenced by petrol prices, diesel prices, the long-term time trend. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",71.5,80
2026-08-24,298.52,278.14,321.11,2026-08-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (2.0% difference). The selected model was most influenced by petrol prices, diesel prices, the long-term time trend. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",71.5,80
2026-08-25,298.52,278.14,321.11,2026-08-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (2.0% difference). The selected model was most influenced by petrol prices, diesel prices, the long-term time trend. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",71.5,80
2026-08-26,298.52,278.14,321.11,2026-08-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (2.0% difference). The selected model was most influenced by petrol prices, diesel prices, the long-term time trend. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",71.5,80
2026-08-27,298.52,278.14,321.11,2026-08-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (2.0% difference). The selected model was most influenced by petrol prices, diesel prices, the long-term time trend. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",71.5,80
2026-08-28,298.52,278.14,321.11,2026-08-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (2.0% difference). The selected model was most influenced by petrol prices, diesel prices, the long-term time trend. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",71.5,80
2026-08-29,298.52,278.14,321.11,2026-08-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (2.0% difference). The selected model was most influenced by petrol prices, diesel prices, the long-term time trend. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",71.5,80
2026-08-30,298.52,278.14,321.11,2026-08-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (2.0% difference). The selected model was most influenced by petrol prices, diesel prices, the long-term time trend. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",71.5,80
2026-08-31,298.52,278.14,321.11,2026-08-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (2.0% difference). The selected model was most influenced by petrol prices, diesel prices, the long-term time trend. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",71.5,80
2026-09-01,305.64,274.72,335.42,2026-09-01,ridge_ar_0.1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (4.4% difference). The selected model was most influenced by petrol prices, diesel prices, the long-term time trend. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.0,80
2026-09-02,305.64,274.72,335.42,2026-09-01,ridge_ar_0.1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (4.4% difference). The selected model was most influenced by petrol prices, diesel prices, the long-term time trend. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.0,80
2026-09-03,305.64,274.72,335.42,2026-09-01,ridge_ar_0.1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (4.4% difference). The selected model was most influenced by petrol prices, diesel prices, the long-term time trend. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.0,80
2026-09-04,305.64,274.72,335.42,2026-09-01,ridge_ar_0.1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (4.4% difference). The selected model was most influenced by petrol prices, diesel prices, the long-term time trend. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.0,80
