date,predicted_price,lower_80,upper_80,monthly_forecast_date,selected_model,view_frequency,source_frequency,reason,confidence_score_percent,interval_confidence_percent
2026-08-01,680.71,635.85,743.35,2026-08-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (4.1% difference). The selected model was most influenced by the same period last year, the long-term time trend, the most recent price. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.5,80
2026-08-02,680.71,635.85,743.35,2026-08-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (4.1% difference). The selected model was most influenced by the same period last year, the long-term time trend, the most recent price. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.5,80
2026-08-03,680.71,635.85,743.35,2026-08-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (4.1% difference). The selected model was most influenced by the same period last year, the long-term time trend, the most recent price. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.5,80
2026-08-04,680.71,635.85,743.35,2026-08-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (4.1% difference). The selected model was most influenced by the same period last year, the long-term time trend, the most recent price. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.5,80
2026-08-05,680.71,635.85,743.35,2026-08-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (4.1% difference). The selected model was most influenced by the same period last year, the long-term time trend, the most recent price. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.5,80
2026-08-06,680.71,635.85,743.35,2026-08-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (4.1% difference). The selected model was most influenced by the same period last year, the long-term time trend, the most recent price. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.5,80
2026-08-07,680.71,635.85,743.35,2026-08-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (4.1% difference). The selected model was most influenced by the same period last year, the long-term time trend, the most recent price. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.5,80
2026-08-08,680.71,635.85,743.35,2026-08-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (4.1% difference). The selected model was most influenced by the same period last year, the long-term time trend, the most recent price. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.5,80
2026-08-09,680.71,635.85,743.35,2026-08-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (4.1% difference). The selected model was most influenced by the same period last year, the long-term time trend, the most recent price. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.5,80
2026-08-10,680.71,635.85,743.35,2026-08-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (4.1% difference). The selected model was most influenced by the same period last year, the long-term time trend, the most recent price. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.5,80
