date,predicted_price,lower_80,upper_80,monthly_forecast_date,selected_model,view_frequency,source_frequency,reason,confidence_score_percent,interval_confidence_percent
2026-08-01,203.11,149.35,224.9,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (0.7% difference). The selected model was most influenced by the most recent price, the recent yearly price trend, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",60.8,80
2026-08-02,203.11,149.35,224.9,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (0.7% difference). The selected model was most influenced by the most recent price, the recent yearly price trend, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",60.8,80
2026-08-03,203.11,149.35,224.9,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (0.7% difference). The selected model was most influenced by the most recent price, the recent yearly price trend, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",60.8,80
2026-08-04,203.11,149.35,224.9,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (0.7% difference). The selected model was most influenced by the most recent price, the recent yearly price trend, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",60.8,80
2026-08-05,203.11,149.35,224.9,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (0.7% difference). The selected model was most influenced by the most recent price, the recent yearly price trend, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",60.8,80
2026-08-06,203.11,149.35,224.9,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (0.7% difference). The selected model was most influenced by the most recent price, the recent yearly price trend, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",60.8,80
2026-08-07,203.11,149.35,224.9,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (0.7% difference). The selected model was most influenced by the most recent price, the recent yearly price trend, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",60.8,80
2026-08-08,203.11,149.35,224.9,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (0.7% difference). The selected model was most influenced by the most recent price, the recent yearly price trend, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",60.8,80
2026-08-09,203.11,149.35,224.9,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (0.7% difference). The selected model was most influenced by the most recent price, the recent yearly price trend, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",60.8,80
2026-08-10,203.11,149.35,224.9,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (0.7% difference). The selected model was most influenced by the most recent price, the recent yearly price trend, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",60.8,80
2026-08-11,203.11,149.35,224.9,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (0.7% difference). The selected model was most influenced by the most recent price, the recent yearly price trend, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",60.8,80
2026-08-12,203.11,149.35,224.9,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (0.7% difference). The selected model was most influenced by the most recent price, the recent yearly price trend, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",60.8,80
2026-08-13,203.11,149.35,224.9,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (0.7% difference). The selected model was most influenced by the most recent price, the recent yearly price trend, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",60.8,80
2026-08-14,203.11,149.35,224.9,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (0.7% difference). The selected model was most influenced by the most recent price, the recent yearly price trend, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",60.8,80
2026-08-15,203.11,149.35,224.9,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (0.7% difference). The selected model was most influenced by the most recent price, the recent yearly price trend, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",60.8,80
2026-08-16,203.11,149.35,224.9,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (0.7% difference). The selected model was most influenced by the most recent price, the recent yearly price trend, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",60.8,80
2026-08-17,203.11,149.35,224.9,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (0.7% difference). The selected model was most influenced by the most recent price, the recent yearly price trend, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",60.8,80
2026-08-18,203.11,149.35,224.9,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (0.7% difference). The selected model was most influenced by the most recent price, the recent yearly price trend, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",60.8,80
2026-08-19,203.11,149.35,224.9,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (0.7% difference). The selected model was most influenced by the most recent price, the recent yearly price trend, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",60.8,80
2026-08-20,203.11,149.35,224.9,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (0.7% difference). The selected model was most influenced by the most recent price, the recent yearly price trend, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",60.8,80
2026-08-21,203.11,149.35,224.9,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (0.7% difference). The selected model was most influenced by the most recent price, the recent yearly price trend, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",60.8,80
2026-08-22,203.11,149.35,224.9,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (0.7% difference). The selected model was most influenced by the most recent price, the recent yearly price trend, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",60.8,80
2026-08-23,203.11,149.35,224.9,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (0.7% difference). The selected model was most influenced by the most recent price, the recent yearly price trend, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",60.8,80
2026-08-24,203.11,149.35,224.9,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (0.7% difference). The selected model was most influenced by the most recent price, the recent yearly price trend, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",60.8,80
2026-08-25,203.11,149.35,224.9,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (0.7% difference). The selected model was most influenced by the most recent price, the recent yearly price trend, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",60.8,80
2026-08-26,203.11,149.35,224.9,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (0.7% difference). The selected model was most influenced by the most recent price, the recent yearly price trend, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",60.8,80
2026-08-27,203.11,149.35,224.9,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (0.7% difference). The selected model was most influenced by the most recent price, the recent yearly price trend, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",60.8,80
2026-08-28,203.11,149.35,224.9,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (0.7% difference). The selected model was most influenced by the most recent price, the recent yearly price trend, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",60.8,80
2026-08-29,203.11,149.35,224.9,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (0.7% difference). The selected model was most influenced by the most recent price, the recent yearly price trend, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",60.8,80
2026-08-30,203.11,149.35,224.9,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (0.7% difference). The selected model was most influenced by the most recent price, the recent yearly price trend, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",60.8,80
2026-08-31,203.11,149.35,224.9,2026-08-01,ridge_ar_10,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (0.7% difference). The selected model was most influenced by the most recent price, the recent yearly price trend, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",60.8,80
2026-09-01,228.83,139.36,284.73,2026-09-01,seasonal_trend,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (11.9% difference). It combines the same-month-last-year seasonal pattern with the recent year-on-year trend. This daily value is the forecast month's average, because the training data is monthly rather than daily.",53.4,80
2026-09-02,228.83,139.36,284.73,2026-09-01,seasonal_trend,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (11.9% difference). It combines the same-month-last-year seasonal pattern with the recent year-on-year trend. This daily value is the forecast month's average, because the training data is monthly rather than daily.",53.4,80
2026-09-03,228.83,139.36,284.73,2026-09-01,seasonal_trend,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (11.9% difference). It combines the same-month-last-year seasonal pattern with the recent year-on-year trend. This daily value is the forecast month's average, because the training data is monthly rather than daily.",53.4,80
2026-09-04,228.83,139.36,284.73,2026-09-01,seasonal_trend,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (11.9% difference). It combines the same-month-last-year seasonal pattern with the recent year-on-year trend. This daily value is the forecast month's average, because the training data is monthly rather than daily.",53.4,80
2026-09-05,228.83,139.36,284.73,2026-09-01,seasonal_trend,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (11.9% difference). It combines the same-month-last-year seasonal pattern with the recent year-on-year trend. This daily value is the forecast month's average, because the training data is monthly rather than daily.",53.4,80
2026-09-06,228.83,139.36,284.73,2026-09-01,seasonal_trend,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (11.9% difference). It combines the same-month-last-year seasonal pattern with the recent year-on-year trend. This daily value is the forecast month's average, because the training data is monthly rather than daily.",53.4,80
2026-09-07,228.83,139.36,284.73,2026-09-01,seasonal_trend,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (11.9% difference). It combines the same-month-last-year seasonal pattern with the recent year-on-year trend. This daily value is the forecast month's average, because the training data is monthly rather than daily.",53.4,80
2026-09-08,228.83,139.36,284.73,2026-09-01,seasonal_trend,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (11.9% difference). It combines the same-month-last-year seasonal pattern with the recent year-on-year trend. This daily value is the forecast month's average, because the training data is monthly rather than daily.",53.4,80
2026-09-09,228.83,139.36,284.73,2026-09-01,seasonal_trend,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (11.9% difference). It combines the same-month-last-year seasonal pattern with the recent year-on-year trend. This daily value is the forecast month's average, because the training data is monthly rather than daily.",53.4,80
2026-09-10,228.83,139.36,284.73,2026-09-01,seasonal_trend,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (11.9% difference). It combines the same-month-last-year seasonal pattern with the recent year-on-year trend. This daily value is the forecast month's average, because the training data is monthly rather than daily.",53.4,80
2026-09-11,228.83,139.36,284.73,2026-09-01,seasonal_trend,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (11.9% difference). It combines the same-month-last-year seasonal pattern with the recent year-on-year trend. This daily value is the forecast month's average, because the training data is monthly rather than daily.",53.4,80
2026-09-12,228.83,139.36,284.73,2026-09-01,seasonal_trend,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (11.9% difference). It combines the same-month-last-year seasonal pattern with the recent year-on-year trend. This daily value is the forecast month's average, because the training data is monthly rather than daily.",53.4,80
2026-09-13,228.83,139.36,284.73,2026-09-01,seasonal_trend,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (11.9% difference). It combines the same-month-last-year seasonal pattern with the recent year-on-year trend. This daily value is the forecast month's average, because the training data is monthly rather than daily.",53.4,80
2026-09-14,228.83,139.36,284.73,2026-09-01,seasonal_trend,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (11.9% difference). It combines the same-month-last-year seasonal pattern with the recent year-on-year trend. This daily value is the forecast month's average, because the training data is monthly rather than daily.",53.4,80
2026-09-15,228.83,139.36,284.73,2026-09-01,seasonal_trend,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (11.9% difference). It combines the same-month-last-year seasonal pattern with the recent year-on-year trend. This daily value is the forecast month's average, because the training data is monthly rather than daily.",53.4,80
2026-09-16,228.83,139.36,284.73,2026-09-01,seasonal_trend,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (11.9% difference). It combines the same-month-last-year seasonal pattern with the recent year-on-year trend. This daily value is the forecast month's average, because the training data is monthly rather than daily.",53.4,80
2026-09-17,228.83,139.36,284.73,2026-09-01,seasonal_trend,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (11.9% difference). It combines the same-month-last-year seasonal pattern with the recent year-on-year trend. This daily value is the forecast month's average, because the training data is monthly rather than daily.",53.4,80
2026-09-18,228.83,139.36,284.73,2026-09-01,seasonal_trend,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (11.9% difference). It combines the same-month-last-year seasonal pattern with the recent year-on-year trend. This daily value is the forecast month's average, because the training data is monthly rather than daily.",53.4,80
2026-09-19,228.83,139.36,284.73,2026-09-01,seasonal_trend,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (11.9% difference). It combines the same-month-last-year seasonal pattern with the recent year-on-year trend. This daily value is the forecast month's average, because the training data is monthly rather than daily.",53.4,80
2026-09-20,228.83,139.36,284.73,2026-09-01,seasonal_trend,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (11.9% difference). It combines the same-month-last-year seasonal pattern with the recent year-on-year trend. This daily value is the forecast month's average, because the training data is monthly rather than daily.",53.4,80
2026-09-21,228.83,139.36,284.73,2026-09-01,seasonal_trend,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (11.9% difference). It combines the same-month-last-year seasonal pattern with the recent year-on-year trend. This daily value is the forecast month's average, because the training data is monthly rather than daily.",53.4,80
2026-09-22,228.83,139.36,284.73,2026-09-01,seasonal_trend,daily,derived_from_monthly_model,"The forecast is higher than the latest observed monthly price (11.9% difference). It combines the same-month-last-year seasonal pattern with the recent year-on-year trend. This daily value is the forecast month's average, because the training data is monthly rather than daily.",53.4,80
