week_start,predicted_price,lower_80,upper_80,days_covered,view_frequency,source_frequency,reason,confidence_score_percent,interval_confidence_percent
2026-07-27,203.11,149.35,224.9,2,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,68.4,80
2026-08-03,203.10999999999999,149.35,224.9,7,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,68.4,80
2026-08-10,203.10999999999999,149.35,224.9,7,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,68.4,80
2026-08-17,203.10999999999999,149.35,224.9,7,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,68.4,80
2026-08-24,203.10999999999999,149.35,224.9,7,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,68.4,80
2026-08-31,225.1557142857143,140.78714285714287,276.1828571428572,7,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,61.1,80
2026-09-07,228.83,139.36,284.73,7,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,60.1,80
2026-09-14,228.83,139.36,284.73,7,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,60.1,80
2026-09-21,228.83,139.36,284.73,7,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,60.1,80
2026-09-28,200.34428571428572,117.93714285714286,258.5014285714286,7,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,58.0,80
2026-10-05,178.98,101.87,238.83,7,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,56.0,80
2026-10-12,178.98,101.87,238.83,7,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,56.0,80
2026-10-19,178.98,101.87,238.83,7,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,56.0,80
2026-10-26,178.98,101.87,238.83,6,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,56.0,80
