date,predicted_price,lower_80,upper_80,monthly_forecast_date,selected_model,view_frequency,source_frequency,reason,confidence_score_percent,interval_confidence_percent
2026-08-01,940.59,878.9,1144.32,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.9% difference). The selected model was most influenced by the most recent price, the recent six-month average, the six-month price pattern. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.2,80
2026-08-02,940.59,878.9,1144.32,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.9% difference). The selected model was most influenced by the most recent price, the recent six-month average, the six-month price pattern. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.2,80
2026-08-03,940.59,878.9,1144.32,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.9% difference). The selected model was most influenced by the most recent price, the recent six-month average, the six-month price pattern. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.2,80
2026-08-04,940.59,878.9,1144.32,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.9% difference). The selected model was most influenced by the most recent price, the recent six-month average, the six-month price pattern. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.2,80
2026-08-05,940.59,878.9,1144.32,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.9% difference). The selected model was most influenced by the most recent price, the recent six-month average, the six-month price pattern. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.2,80
2026-08-06,940.59,878.9,1144.32,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.9% difference). The selected model was most influenced by the most recent price, the recent six-month average, the six-month price pattern. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.2,80
2026-08-07,940.59,878.9,1144.32,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.9% difference). The selected model was most influenced by the most recent price, the recent six-month average, the six-month price pattern. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.2,80
2026-08-08,940.59,878.9,1144.32,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.9% difference). The selected model was most influenced by the most recent price, the recent six-month average, the six-month price pattern. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.2,80
2026-08-09,940.59,878.9,1144.32,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.9% difference). The selected model was most influenced by the most recent price, the recent six-month average, the six-month price pattern. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.2,80
2026-08-10,940.59,878.9,1144.32,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.9% difference). The selected model was most influenced by the most recent price, the recent six-month average, the six-month price pattern. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.2,80
2026-08-11,940.59,878.9,1144.32,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.9% difference). The selected model was most influenced by the most recent price, the recent six-month average, the six-month price pattern. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.2,80
2026-08-12,940.59,878.9,1144.32,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.9% difference). The selected model was most influenced by the most recent price, the recent six-month average, the six-month price pattern. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.2,80
2026-08-13,940.59,878.9,1144.32,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.9% difference). The selected model was most influenced by the most recent price, the recent six-month average, the six-month price pattern. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.2,80
2026-08-14,940.59,878.9,1144.32,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.9% difference). The selected model was most influenced by the most recent price, the recent six-month average, the six-month price pattern. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.2,80
2026-08-15,940.59,878.9,1144.32,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.9% difference). The selected model was most influenced by the most recent price, the recent six-month average, the six-month price pattern. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.2,80
2026-08-16,940.59,878.9,1144.32,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.9% difference). The selected model was most influenced by the most recent price, the recent six-month average, the six-month price pattern. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.2,80
2026-08-17,940.59,878.9,1144.32,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.9% difference). The selected model was most influenced by the most recent price, the recent six-month average, the six-month price pattern. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.2,80
2026-08-18,940.59,878.9,1144.32,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.9% difference). The selected model was most influenced by the most recent price, the recent six-month average, the six-month price pattern. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.2,80
2026-08-19,940.59,878.9,1144.32,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.9% difference). The selected model was most influenced by the most recent price, the recent six-month average, the six-month price pattern. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.2,80
2026-08-20,940.59,878.9,1144.32,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.9% difference). The selected model was most influenced by the most recent price, the recent six-month average, the six-month price pattern. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.2,80
2026-08-21,940.59,878.9,1144.32,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.9% difference). The selected model was most influenced by the most recent price, the recent six-month average, the six-month price pattern. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.2,80
2026-08-22,940.59,878.9,1144.32,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.9% difference). The selected model was most influenced by the most recent price, the recent six-month average, the six-month price pattern. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.2,80
2026-08-23,940.59,878.9,1144.32,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.9% difference). The selected model was most influenced by the most recent price, the recent six-month average, the six-month price pattern. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.2,80
2026-08-24,940.59,878.9,1144.32,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.9% difference). The selected model was most influenced by the most recent price, the recent six-month average, the six-month price pattern. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.2,80
2026-08-25,940.59,878.9,1144.32,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.9% difference). The selected model was most influenced by the most recent price, the recent six-month average, the six-month price pattern. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.2,80
2026-08-26,940.59,878.9,1144.32,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.9% difference). The selected model was most influenced by the most recent price, the recent six-month average, the six-month price pattern. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.2,80
2026-08-27,940.59,878.9,1144.32,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.9% difference). The selected model was most influenced by the most recent price, the recent six-month average, the six-month price pattern. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.2,80
2026-08-28,940.59,878.9,1144.32,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.9% difference). The selected model was most influenced by the most recent price, the recent six-month average, the six-month price pattern. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.2,80
2026-08-29,940.59,878.9,1144.32,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.9% difference). The selected model was most influenced by the most recent price, the recent six-month average, the six-month price pattern. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.2,80
2026-08-30,940.59,878.9,1144.32,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.9% difference). The selected model was most influenced by the most recent price, the recent six-month average, the six-month price pattern. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.2,80
2026-08-31,940.59,878.9,1144.32,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.9% difference). The selected model was most influenced by the most recent price, the recent six-month average, the six-month price pattern. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.2,80
2026-09-01,943.42,875.5,1178.63,2026-09-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.6% difference). The selected model was most influenced by the recent six-month average, the recent three-month price pattern, the long-term time trend. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",69.1,80
2026-09-02,943.42,875.5,1178.63,2026-09-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.6% difference). The selected model was most influenced by the recent six-month average, the recent three-month price pattern, the long-term time trend. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",69.1,80
