date,predicted_price,lower_80,upper_80,monthly_forecast_date,selected_model,view_frequency,source_frequency,reason,confidence_score_percent,interval_confidence_percent
2026-08-01,539.45,504.45,560.16,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (4.7% difference). The selected model was most influenced by the most recent price, the same period last year, the recent three-month average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",73.5,80
2026-08-02,539.45,504.45,560.16,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (4.7% difference). The selected model was most influenced by the most recent price, the same period last year, the recent three-month average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",73.5,80
2026-08-03,539.45,504.45,560.16,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (4.7% difference). The selected model was most influenced by the most recent price, the same period last year, the recent three-month average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",73.5,80
2026-08-04,539.45,504.45,560.16,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (4.7% difference). The selected model was most influenced by the most recent price, the same period last year, the recent three-month average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",73.5,80
2026-08-05,539.45,504.45,560.16,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (4.7% difference). The selected model was most influenced by the most recent price, the same period last year, the recent three-month average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",73.5,80
2026-08-06,539.45,504.45,560.16,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (4.7% difference). The selected model was most influenced by the most recent price, the same period last year, the recent three-month average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",73.5,80
2026-08-07,539.45,504.45,560.16,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (4.7% difference). The selected model was most influenced by the most recent price, the same period last year, the recent three-month average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",73.5,80
2026-08-08,539.45,504.45,560.16,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (4.7% difference). The selected model was most influenced by the most recent price, the same period last year, the recent three-month average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",73.5,80
2026-08-09,539.45,504.45,560.16,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (4.7% difference). The selected model was most influenced by the most recent price, the same period last year, the recent three-month average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",73.5,80
2026-08-10,539.45,504.45,560.16,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (4.7% difference). The selected model was most influenced by the most recent price, the same period last year, the recent three-month average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",73.5,80
