week_start,predicted_price,lower_80,upper_80,days_covered,view_frequency,source_frequency,reason,confidence_score_percent,interval_confidence_percent
2026-07-27,539.45,504.45,560.16,2,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,82.7,80
2026-08-03,539.45,504.45,560.16,7,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,82.7,80
2026-08-10,539.45,504.45,560.16,7,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,82.7,80
2026-08-17,539.45,504.45,560.16,7,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,82.7,80
2026-08-24,539.45,504.45,560.16,7,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,82.7,80
2026-08-31,535.37,497.9957142857143,574.5085714285714,7,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,81.5,80
2026-09-07,534.69,496.92,576.9,7,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,81.2,80
2026-09-14,534.69,496.92,576.9,7,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,81.2,80
2026-09-21,534.69,496.92,576.9,7,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,81.2,80
2026-09-28,534.3357142857143,494.34857142857146,581.7457142857143,7,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,80.8,80
2026-10-05,534.07,492.42,585.38,7,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,80.5,80
2026-10-12,534.07,492.42,585.38,7,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,80.5,80
2026-10-19,534.07,492.42,585.38,7,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,80.5,80
2026-10-26,534.07,492.42,585.38,6,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,80.5,80
