date,predicted_price,lower_80,upper_80,monthly_forecast_date,selected_model,view_frequency,source_frequency,reason,confidence_score_percent,interval_confidence_percent
2026-08-01,484.77,445.34,502.66,2026-08-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.6% difference). The selected model was most influenced by the recent six-month average, the most recent price, petrol prices. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.0,80
2026-08-02,484.77,445.34,502.66,2026-08-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.6% difference). The selected model was most influenced by the recent six-month average, the most recent price, petrol prices. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.0,80
2026-08-03,484.77,445.34,502.66,2026-08-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.6% difference). The selected model was most influenced by the recent six-month average, the most recent price, petrol prices. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.0,80
2026-08-04,484.77,445.34,502.66,2026-08-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.6% difference). The selected model was most influenced by the recent six-month average, the most recent price, petrol prices. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.0,80
2026-08-05,484.77,445.34,502.66,2026-08-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.6% difference). The selected model was most influenced by the recent six-month average, the most recent price, petrol prices. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.0,80
2026-08-06,484.77,445.34,502.66,2026-08-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.6% difference). The selected model was most influenced by the recent six-month average, the most recent price, petrol prices. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.0,80
2026-08-07,484.77,445.34,502.66,2026-08-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.6% difference). The selected model was most influenced by the recent six-month average, the most recent price, petrol prices. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.0,80
2026-08-08,484.77,445.34,502.66,2026-08-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.6% difference). The selected model was most influenced by the recent six-month average, the most recent price, petrol prices. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.0,80
2026-08-09,484.77,445.34,502.66,2026-08-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.6% difference). The selected model was most influenced by the recent six-month average, the most recent price, petrol prices. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.0,80
2026-08-10,484.77,445.34,502.66,2026-08-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.6% difference). The selected model was most influenced by the recent six-month average, the most recent price, petrol prices. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.0,80
2026-08-11,484.77,445.34,502.66,2026-08-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.6% difference). The selected model was most influenced by the recent six-month average, the most recent price, petrol prices. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.0,80
2026-08-12,484.77,445.34,502.66,2026-08-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.6% difference). The selected model was most influenced by the recent six-month average, the most recent price, petrol prices. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.0,80
2026-08-13,484.77,445.34,502.66,2026-08-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.6% difference). The selected model was most influenced by the recent six-month average, the most recent price, petrol prices. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.0,80
2026-08-14,484.77,445.34,502.66,2026-08-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.6% difference). The selected model was most influenced by the recent six-month average, the most recent price, petrol prices. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.0,80
2026-08-15,484.77,445.34,502.66,2026-08-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.6% difference). The selected model was most influenced by the recent six-month average, the most recent price, petrol prices. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.0,80
2026-08-16,484.77,445.34,502.66,2026-08-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.6% difference). The selected model was most influenced by the recent six-month average, the most recent price, petrol prices. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.0,80
2026-08-17,484.77,445.34,502.66,2026-08-01,ridge_ar_1,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.6% difference). The selected model was most influenced by the recent six-month average, the most recent price, petrol prices. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",70.0,80
