date,predicted_price,lower_80,upper_80,monthly_forecast_date,selected_model,view_frequency,source_frequency,reason,confidence_score_percent,interval_confidence_percent
2026-08-01,587.1,570.83,622.95,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (2.1% difference). The selected model was most influenced by the same period last year, the most recent price, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",76.0,80
2026-08-02,587.1,570.83,622.95,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (2.1% difference). The selected model was most influenced by the same period last year, the most recent price, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",76.0,80
2026-08-03,587.1,570.83,622.95,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (2.1% difference). The selected model was most influenced by the same period last year, the most recent price, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",76.0,80
2026-08-04,587.1,570.83,622.95,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (2.1% difference). The selected model was most influenced by the same period last year, the most recent price, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",76.0,80
2026-08-05,587.1,570.83,622.95,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (2.1% difference). The selected model was most influenced by the same period last year, the most recent price, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",76.0,80
2026-08-06,587.1,570.83,622.95,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (2.1% difference). The selected model was most influenced by the same period last year, the most recent price, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",76.0,80
2026-08-07,587.1,570.83,622.95,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (2.1% difference). The selected model was most influenced by the same period last year, the most recent price, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",76.0,80
2026-08-08,587.1,570.83,622.95,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (2.1% difference). The selected model was most influenced by the same period last year, the most recent price, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",76.0,80
2026-08-09,587.1,570.83,622.95,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (2.1% difference). The selected model was most influenced by the same period last year, the most recent price, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",76.0,80
2026-08-10,587.1,570.83,622.95,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (2.1% difference). The selected model was most influenced by the same period last year, the most recent price, the recent yearly average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",76.0,80
