date,predicted_price,lower_80,upper_80,monthly_forecast_date,selected_model,view_frequency,source_frequency,reason,confidence_score_percent,interval_confidence_percent
2026-08-01,462.68,448.95,499.45,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.4% difference). The selected model was most influenced by the long-term time trend, the most recent price, the recent three-month average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",74.9,80
2026-08-02,462.68,448.95,499.45,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.4% difference). The selected model was most influenced by the long-term time trend, the most recent price, the recent three-month average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",74.9,80
2026-08-03,462.68,448.95,499.45,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.4% difference). The selected model was most influenced by the long-term time trend, the most recent price, the recent three-month average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",74.9,80
2026-08-04,462.68,448.95,499.45,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.4% difference). The selected model was most influenced by the long-term time trend, the most recent price, the recent three-month average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",74.9,80
2026-08-05,462.68,448.95,499.45,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.4% difference). The selected model was most influenced by the long-term time trend, the most recent price, the recent three-month average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",74.9,80
2026-08-06,462.68,448.95,499.45,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.4% difference). The selected model was most influenced by the long-term time trend, the most recent price, the recent three-month average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",74.9,80
2026-08-07,462.68,448.95,499.45,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.4% difference). The selected model was most influenced by the long-term time trend, the most recent price, the recent three-month average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",74.9,80
2026-08-08,462.68,448.95,499.45,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.4% difference). The selected model was most influenced by the long-term time trend, the most recent price, the recent three-month average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",74.9,80
2026-08-09,462.68,448.95,499.45,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.4% difference). The selected model was most influenced by the long-term time trend, the most recent price, the recent three-month average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",74.9,80
2026-08-10,462.68,448.95,499.45,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.4% difference). The selected model was most influenced by the long-term time trend, the most recent price, the recent three-month average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",74.9,80
2026-08-11,462.68,448.95,499.45,2026-08-01,ridge_ar_100,daily,derived_from_monthly_model,"The forecast is lower than the latest observed monthly price (1.4% difference). The selected model was most influenced by the long-term time trend, the most recent price, the recent three-month average. It also accounts for seasonal timing and the available market-factor data. This daily value is the forecast month's average, because the training data is monthly rather than daily.",74.9,80
