week_start,predicted_price,lower_80,upper_80,days_covered,view_frequency,source_frequency,reason,confidence_score_percent,interval_confidence_percent
2026-07-27,462.68,448.95,499.45,2,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,84.3,80
2026-08-03,462.68,448.95,499.45,7,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,84.3,80
2026-08-10,462.68,448.95,499.45,7,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,84.3,80
2026-08-17,462.68,448.95,499.45,7,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,84.3,80
2026-08-24,462.68,448.95,499.45,7,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,84.3,80
2026-08-31,461.6942857142857,443.84999999999997,522.1214285714285,7,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,82.4,80
2026-09-07,461.53000000000003,443.0,525.9,7,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,82.1,80
2026-09-14,461.53000000000003,443.0,525.9,7,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,82.1,80
2026-09-21,461.53000000000003,443.0,525.9,7,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,82.1,80
2026-09-28,460.14142857142855,435.3371428571428,538.2714285714285,7,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,80.7,80
2026-10-05,459.1,429.59,547.55,7,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,79.6,80
2026-10-12,459.1,429.59,547.55,7,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,79.6,80
2026-10-19,459.1,429.59,547.55,7,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,79.6,80
2026-10-26,459.1000000000001,429.59,547.55,6,weekly,derived_from_monthly_model,This weekly value is an average of the available monthly-model daily display values; it is not an independently trained weekly forecast.,79.6,80
