horizon,model,observations,WAPE,RMSE
1,local_trend_24,24,19.316257966214174,68.97091158822718
1,local_trend_60,24,15.73605369894387,57.12649063536797
1,ridge_ar_0.1,24,5.8178282522287805,21.853373162870948
1,ridge_ar_1,24,5.686647575104479,22.623191474923697
1,ridge_ar_10,24,7.488372607072271,29.655870906252296
1,ridge_ar_100,24,10.320887782042556,39.11644876969376
1,seasonal_naive,24,26.842583192480465,97.20522383939388
1,seasonal_trend,24,27.04548983109423,96.69533946117308
2,local_trend_24,24,22.252731987399596,79.67629389515947
2,local_trend_60,24,16.54722707905271,60.25268001729679
2,ridge_ar_0.1,24,7.383050113577891,26.69701644738749
2,ridge_ar_1,24,9.094985567150925,36.996766006300135
2,ridge_ar_10,24,13.309985157777884,50.70459112706013
2,ridge_ar_100,24,15.871571171036573,59.016428590842246
2,seasonal_naive,24,26.842583192480465,97.20522383939388
2,seasonal_trend,24,27.883166219265966,98.64313433924698
3,local_trend_24,24,24.718213077337868,89.23775574613035
3,local_trend_60,24,17.300329282977742,63.0190521790378
3,ridge_ar_0.1,24,9.18381003179259,31.549700410471882
3,ridge_ar_1,24,12.938018930024414,49.564284208171
3,ridge_ar_10,24,19.119792991603553,70.94902948616394
3,ridge_ar_100,24,20.85506201407177,77.57533455370464
3,seasonal_naive,24,26.842583192480465,97.20522383939388
3,seasonal_trend,24,29.06617113837844,102.50798702869938
