horizon,model,observations,WAPE,RMSE
1,local_trend_24,24,21.757442818125377,125.77066417547626
1,local_trend_60,24,14.453795695405917,89.65453827459368
1,ridge_ar_0.1,24,9.678615635995598,61.79719222734958
1,ridge_ar_1,24,9.207037892131545,57.95798671432079
1,ridge_ar_10,24,10.554881478018952,66.29060202885267
1,ridge_ar_100,24,12.776762599180648,74.48646951763628
1,seasonal_naive,24,26.69579113687927,162.57483815154177
1,seasonal_trend,24,26.861383679085048,160.70365365764223
2,local_trend_24,24,24.983478408887038,145.44206178551858
2,local_trend_60,24,15.176794616335847,94.37079231617194
2,ridge_ar_0.1,24,16.98377478861181,104.49185810835631
2,ridge_ar_1,24,16.311974601909103,97.87632116712595
2,ridge_ar_10,24,17.493409054748692,105.37513718907918
2,ridge_ar_100,24,18.632830753304642,105.72114217230877
2,seasonal_naive,24,26.69579113687927,162.57483815154177
2,seasonal_trend,24,27.744816986448136,162.61597566516173
3,local_trend_24,24,28.52307811090789,162.9954015136771
3,local_trend_60,24,15.694136391068726,98.19441022180891
3,ridge_ar_0.1,24,23.48865909767565,136.96679309592952
3,ridge_ar_1,24,21.73955697394953,128.39343949717428
3,ridge_ar_10,24,23.406716599999662,137.41977313417507
3,ridge_ar_100,24,23.572965260391832,133.4239604546511
3,seasonal_naive,24,26.69579113687927,162.57483815154177
3,seasonal_trend,24,29.38528598594017,168.6030167004363
