horizon,model,observations,WAPE,RMSE
1,local_trend_24,24,14.693530804845858,41.875649648749196
1,local_trend_60,24,18.08325603650588,56.37223617654203
1,ridge_ar_0.1,24,12.212932178304914,42.92992634107498
1,ridge_ar_1,24,10.499635358620909,31.22051790871323
1,ridge_ar_10,24,10.33689818779437,31.204854948737815
1,ridge_ar_100,24,11.043307527555625,32.83551384777783
1,seasonal_naive,24,15.179196573001349,44.70109026448162
1,seasonal_trend,24,14.650329957099524,43.528769025472734
2,local_trend_24,24,16.837053290806015,47.15629045884275
2,local_trend_60,24,19.023929403881446,58.883632936822785
2,ridge_ar_0.1,24,25.059582573089678,90.82177080658154
2,ridge_ar_1,24,17.489269171604427,50.30927122508617
2,ridge_ar_10,24,15.618126450322492,46.27891210331216
2,ridge_ar_100,24,14.74267123074892,43.74860242372492
2,seasonal_naive,24,15.179196573001349,44.70109026448162
2,seasonal_trend,24,14.360577478579408,43.175936862888804
3,local_trend_24,24,18.316725069758238,51.026271952753255
3,local_trend_60,24,19.86773798059638,60.87859364035655
3,ridge_ar_0.1,24,38.02757009416777,148.93462476274343
3,ridge_ar_1,24,22.57955479002868,67.10107158744567
3,ridge_ar_10,24,19.452945398274306,58.689544891135846
3,ridge_ar_100,24,17.358810774859204,51.79282468441669
3,seasonal_naive,24,15.179196573001349,44.70109026448162
3,seasonal_trend,24,14.349321442726895,43.8443728228072
