horizon,model,observations,WAPE,RMSE
1,local_trend_24,24,13.452618204754799,152.2824319845284
1,local_trend_60,24,14.126615146794544,175.07852452288995
1,ridge_ar_0.1,24,11.24080141600913,133.58511021595524
1,ridge_ar_1,24,10.987199577999048,126.5893003368934
1,ridge_ar_10,24,10.454940493761686,119.16391647701997
1,ridge_ar_100,24,9.709173612274904,116.3060833150813
1,seasonal_naive,24,19.04819730450845,233.87229002527567
1,seasonal_trend,24,18.46856110092293,227.60765735730246
2,local_trend_24,24,16.192719828657008,179.7862387688475
2,local_trend_60,24,14.687924146685138,183.07718851223544
2,ridge_ar_0.1,24,16.697938732831812,191.7076079460147
2,ridge_ar_1,24,16.269539143374192,184.03477412704987
2,ridge_ar_10,24,15.009570449692049,168.40687440021551
2,ridge_ar_100,24,12.979730685815923,150.92437773528073
2,seasonal_naive,24,19.04819730450845,233.87229002527567
2,seasonal_trend,24,18.504353141603186,226.29112476704086
3,local_trend_24,24,19.00000996283457,205.51125132811748
3,local_trend_60,24,15.149259184389846,189.92012472808457
3,ridge_ar_0.1,24,18.63826955386195,213.54861251029587
3,ridge_ar_1,24,19.121996995374786,213.44498781769752
3,ridge_ar_10,24,17.493330239258768,198.09498338031548
3,ridge_ar_100,24,14.609906791267521,173.49981304866253
3,seasonal_naive,24,19.04819730450845,233.87229002527567
3,seasonal_trend,24,19.140069000107516,231.34101046592676
