horizon,model,observations,WAPE,RMSE
1,local_trend_24,24,8.793914306953862,41.447607599254845
1,local_trend_60,24,11.766907549439395,49.36673068989009
1,ridge_ar_0.1,24,7.139173834569273,30.14639458980113
1,ridge_ar_1,24,6.731434215104744,28.576982087340795
1,ridge_ar_10,24,6.840711296882279,27.48004308168759
1,ridge_ar_100,24,6.326007515818308,27.55464111260995
1,seasonal_naive,24,15.697797410532132,67.28295942634114
1,seasonal_trend,24,15.013912959128769,64.75427129401791
2,local_trend_24,24,9.924878442638194,47.08668812279224
2,local_trend_60,24,12.521488469602925,52.20489405413127
2,ridge_ar_0.1,24,9.875554499720662,40.99982882091271
2,ridge_ar_1,24,9.551908518723037,39.564465911238344
2,ridge_ar_10,24,9.529311890262708,38.705476948236544
2,ridge_ar_100,24,8.878223848127794,36.93007923402479
2,seasonal_naive,24,15.697797410532132,67.28295942634114
2,seasonal_trend,24,14.708775686595349,63.25280935109614
3,local_trend_24,24,10.927654805383657,52.08916108866291
3,local_trend_60,24,13.194445224377999,54.69542378316816
3,ridge_ar_0.1,24,12.789168049808296,52.22539371378334
3,ridge_ar_1,24,12.550470569891234,51.048639558941204
3,ridge_ar_10,24,11.530551966040587,48.80536032725494
3,ridge_ar_100,24,10.571324093720781,44.41965468357718
3,seasonal_naive,24,15.697797410532132,67.28295942634114
3,seasonal_trend,24,14.702635158451379,62.71004613784867
