horizon,model,observations,WAPE,RMSE
1,local_trend_24,24,5.705462002763333,24.964150121946656
1,local_trend_60,24,8.872917646102545,36.040243393820056
1,ridge_ar_0.1,24,6.083357054970234,31.962865563158115
1,ridge_ar_1,24,4.91421168169326,22.541140553869134
1,ridge_ar_10,24,5.31375185225357,24.98716906364531
1,ridge_ar_100,24,6.623975865473819,29.515385089420516
1,seasonal_naive,24,5.27415840263263,25.212011026492902
1,seasonal_trend,24,5.2610276735517685,25.04564651311279
2,local_trend_24,24,6.080899796819153,26.90243493970236
2,local_trend_60,24,9.668880638218367,39.090124845083736
2,ridge_ar_0.1,24,9.850817872052737,54.67693749888881
2,ridge_ar_1,24,5.783809590683233,29.404237068922832
2,ridge_ar_10,24,6.912977239848059,31.157355947805122
2,ridge_ar_100,24,8.214190807750528,35.5687911959084
2,seasonal_naive,24,5.27415840263263,25.212011026492902
2,seasonal_trend,24,5.330450646475007,25.09647902024526
3,local_trend_24,24,5.724467295904226,26.742687685438803
3,local_trend_60,24,10.350345210705592,41.554953269385706
3,ridge_ar_0.1,24,13.443751021162996,70.47907581980492
3,ridge_ar_1,24,6.659183673408999,32.23817621832109
3,ridge_ar_10,24,7.903708807914664,34.51596387923582
3,ridge_ar_100,24,9.484625438463539,39.73067135826879
3,seasonal_naive,24,5.27415840263263,25.212011026492902
3,seasonal_trend,24,5.384923255805253,25.071965476986357
