horizon,model,observations,WAPE,RMSE
1,local_trend_24,24,5.018145477394372,37.08110247929024
1,local_trend_60,24,7.467522693833765,55.56310788431258
1,ridge_ar_0.1,24,3.076720465384871,25.589227699714016
1,ridge_ar_1,24,2.55294258452282,20.058406087326546
1,ridge_ar_10,24,2.3320024776168844,18.758673266441598
1,ridge_ar_100,24,1.7632459365616548,16.71628260203111
1,seasonal_naive,24,8.374984738294513,75.76836185594442
1,seasonal_trend,24,7.642799959007282,70.24989240187763
2,local_trend_24,24,6.10720544233736,44.80546564825023
2,local_trend_60,24,7.948874656957748,59.13746441916377
2,ridge_ar_0.1,24,5.096534904960451,43.00614458292654
2,ridge_ar_1,24,3.844424628493439,29.15480491124342
2,ridge_ar_10,24,3.2285650639317818,25.6665810950184
2,ridge_ar_100,24,2.627818735143628,22.06893286630535
2,seasonal_naive,24,8.374984738294513,75.76836185594442
2,seasonal_trend,24,7.233322836697493,65.27119923064767
3,local_trend_24,24,7.2096943643105496,52.742911374620846
3,local_trend_60,24,8.402667645209451,62.38526464703852
3,ridge_ar_0.1,24,7.7285053675019295,63.15908734805006
3,ridge_ar_1,24,5.721062100642252,40.205606374550975
3,ridge_ar_10,24,4.87025069650027,34.31101620257995
3,ridge_ar_100,24,3.893360622622134,28.770084335218687
3,seasonal_naive,24,8.374984738294513,75.76836185594442
3,seasonal_trend,24,6.950233749842897,61.68853048884689
