commodity,training_start,training_end,observations,selection_period_end,test_period_start,test_predictions,test_wape,test_rmse,seasonal_naive_test_wape,wape_improvement_percent,deployment_strategy,proposed_selector_gate_wape,factor_columns
bananas,2007-01-01,2026-07-01,235,2024-07-01,2024-08-01,72,1.4267401929659342,46.21354972793442,4.54187443854436,68.58697411672183,horizon_specific_model_selector,1.4267401929659342,"['fuel_super', 'fuel_gasoil', 'fuel_lampant', 'fuel_composite']"
beans_fao,2007-01-01,2026-07-01,235,2024-07-01,2024-08-01,72,4.002217048634632,58.307013587155716,13.015524364829833,69.25043558406831,horizon_specific_model_selector,4.002217048634632,"['fuel_super', 'fuel_gasoil', 'fuel_lampant', 'fuel_composite']"
cassava_fao,2007-01-01,2026-07-01,235,2024-07-01,2024-08-01,72,8.572711176700784,28.374315687027643,8.924054994406433,3.9370422742337428,horizon_specific_model_selector,8.572711176700784,"['fuel_super', 'fuel_gasoil', 'fuel_lampant', 'fuel_composite']"
cocoyam_fao,2007-01-01,2026-07-01,235,2024-07-01,2024-08-01,72,9.80590587303555,77.67446998508113,18.130728017971457,45.91554258981887,horizon_specific_model_selector,9.80590587303555,"['fuel_super', 'fuel_gasoil', 'fuel_lampant', 'fuel_composite', 'sd_Production (t)', 'sd_Yield (kg/ha)', 'sd_Export quantity (t)', 'sd_Import quantity (t)', 'sd_Food supply quantity (kg/capita/yr) (kg/cap)']"
maize,2007-01-01,2026-07-01,235,2024-07-01,2024-08-01,72,16.974735890972536,48.89494496429453,22.602468016377884,24.898750531700607,horizon_specific_model_selector,16.974735890972536,"['fuel_super', 'fuel_gasoil', 'fuel_lampant', 'fuel_composite', 'xaf_per_usd', 'world_maize_usd_per_t']"
oil,2007-01-01,2026-07-01,235,2024-07-01,2024-08-01,72,3.56989620050755,42.94106493061685,7.207865606920309,50.47221472775416,horizon_specific_model_selector,3.56989620050755,"['fuel_super', 'fuel_gasoil', 'fuel_lampant', 'fuel_composite', 'xaf_per_usd', 'world_palm_oil_usd_per_t']"
plantains_fao,2007-01-01,2026-07-01,235,2024-07-01,2024-08-01,72,6.9179855990029155,46.52093059268086,15.242355167519676,54.61340768554832,horizon_specific_model_selector,6.9179855990029155,"['fuel_super', 'fuel_gasoil', 'fuel_lampant', 'fuel_composite', 'sd_Production (t)', 'sd_Yield (kg/ha)', 'sd_Export quantity (t)', 'sd_Import quantity (t)', 'sd_Food supply quantity (kg/capita/yr) (kg/cap)']"
potatoes_fao,2007-01-01,2026-07-01,235,2024-07-01,2024-08-01,72,12.904637086164186,84.19788645626238,16.520329409735695,21.88632099212697,horizon_specific_model_selector,12.904637086164186,"['fuel_super', 'fuel_gasoil', 'fuel_lampant', 'fuel_composite', 'sd_Production (t)', 'sd_Yield (kg/ha)', 'sd_Export quantity (t)', 'sd_Import quantity (t)', 'sd_Food supply quantity (kg/capita/yr) (kg/cap)']"
rice,2007-01-01,2026-07-01,235,2024-07-01,2024-08-01,72,2.8320773088554785,22.095265175294458,6.625005473995746,57.25169858392034,horizon_specific_model_selector,2.8320773088554785,"['fuel_super', 'fuel_gasoil', 'fuel_lampant', 'fuel_composite', 'xaf_per_usd', 'world_rice_usd_per_t']"
wheat_flour,2007-01-01,2026-07-01,235,2024-07-01,2024-08-01,72,3.9002953460437984,23.660533700601377,10.480634957459813,62.78569607781559,horizon_specific_model_selector,3.9002953460437984,"['fuel_super', 'fuel_gasoil', 'fuel_lampant', 'fuel_composite', 'xaf_per_usd', 'world_wheat_usd_per_t']"
